"시도별","시점",0 총지수,01 식료품 · 비주류음료,02 주류 및 담배,03 의류 및 신발,04 주택 ·수도 · 전기 및 연료,05 가정용품 및 가사 서비스,06 보건,07 교통,08 통신,09 오락 및 문화,10 교육,11 음식 및 숙박,12 기타 상품 및 서비스
"전국","1980",22.101,-,-,-,-,-,-,-,-,-,-,-,-
"전국","1981",26.820,-,-,-,-,-,-,-,-,-,-,-,-
"전국","1982",28.748,-,-,-,-,-,-,-,-,-,-,-,-
"전국","1983",29.732,-,-,-,-,-,-,-,-,-,-,-,-
"전국","1984",30.408,-,-,-,-,-,-,-,-,-,-,-,-
"전국","1985",31.156,23.577,23.059,34.554,32.257,47.529,37.674,27.746,149.469,65.587,17.885,23.835,37.328
"전국","1986",32.013,24.091,23.649,35.354,33.101,48.694,39.102,28.199,158.286,66.942,18.680,24.941,38.989
"전국","1987",32.989,24.836,23.969,36.604,33.907,50.298,40.449,28.720,161.026,68.363,19.751,26.038,40.121
"전국","1988",35.346,27.457,24.458,39.521,35.122,53.249,43.281,30.222,161.001,70.877,21.613,28.470,40.865
"전국","1989",37.361,29.147,25.693,44.704,36.592,56.858,44.577,31.189,143.680,72.708,23.571,32.789,40.958
"전국","1990",40.564,32.018,27.066,49.070,39.414,60.352,47.898,31.986,153.205,76.118,26.685,37.327,42.380
"전국","1991",44.350,35.537,28.020,51.801,43.825,63.687,50.947,35.502,147.779,78.928,29.475,44.640,44.901
"전국","1992",47.106,37.410,29.454,55.011,46.952,65.774,52.564,38.847,147.484,80.933,32.627,49.159,46.621
"전국","1993",49.367,38.541,31.195,56.847,49.465,67.881,54.049,42.155,146.642,84.396,36.009,51.909,48.493
"전국","1994",52.460,42.471,34.285,58.221,51.478,70.250,55.973,45.362,142.978,86.508,39.431,55.427,50.330
"전국","1995",54.811,43.757,35.046,59.197,53.665,71.590,59.032,48.189,139.656,89.654,44.680,58.478,51.954
"전국","1996",57.510,45.077,38.252,59.897,56.223,72.973,61.747,51.779,139.074,93.143,49.710,61.753,54.985
"전국","1997",60.063,46.871,40.752,60.899,59.076,73.254,64.295,56.775,135.013,93.973,53.285,63.907,57.491
"전국","1998",64.576,51.604,43.360,63.336,63.392,77.501,67.689,66.337,134.780,97.185,55.221,67.109,62.682
"전국","1999",65.101,53.948,46.172,64.422,61.468,76.517,68.683,67.859,134.117,97.141,55.940,66.519,61.332
"전국","2000",66.572,54.400,46.554,65.379,63.730,74.602,73.730,70.879,131.022,96.139,58.767,67.104,62.104
"전국","2001",69.279,57.173,48.869,67.313,67.521,76.001,82.116,73.673,126.883,95.794,61.440,68.278,64.582
"전국","2002",71.193,59.925,52.497,69.416,69.374,76.728,81.668,74.405,121.173,96.379,64.878,70.588,66.709
"전국","2003",73.695,62.712,53.960,71.862,72.320,78.289,83.493,77.405,114.917,96.772,68.713,73.171,68.381
"전국","2004",76.341,67.774,54.573,72.091,74.672,78.860,84.691,80.116,113.126,96.692,72.522,75.922,69.762
"전국","2005",78.444,69.879,62.679,72.815,76.093,79.315,86.566,84.138,111.052,96.788,75.576,77.745,70.761
"전국","2006",80.202,70.246,62.553,74.763,78.275,79.480,88.268,88.029,109.627,94.489,79.229,79.255,74.440
"전국","2007",82.235,72.005,62.810,76.759,80.025,81.555,89.805,91.163,107.424,92.859,83.966,80.725,78.114
"전국","2008",86.079,75.569,63.144,78.725,83.501,85.144,91.536,99.184,105.869,94.231,88.551,84.593,85.161
"전국","2009",88.452,81.294,63.859,82.712,84.433,88.918,93.527,95.671,105.693,96.417,90.768,87.839,90.993
"전국","2010",91.051,86.507,64.120,85.140,86.439,89.230,95.164,100.359,104.728,97.264,92.823,89.889,94.191
"전국","2011",94.717,93.550,64.618,87.971,90.343,92.538,96.837,107.385,103.036,98.796,94.424,93.731,97.236
"전국","2012",96.789,97.256,65.584,92.179,94.498,95.192,97.725,110.864,100.384,99.048,95.762,94.855,94.059
"전국","2013",98.048,98.090,66.678,94.873,97.841,95.446,98.074,110.279,100.254,100.063,96.888,96.326,94.495
"전국","2014",99.298,98.377,66.630,98.680,100.645,97.476,98.765,108.508,100.192,100.492,98.312,97.722,97.409
"전국","2015",100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
"전국","2016",100.97,102.31,100.69,101.80,99.19,101.55,100.99,97.79,100.09,101.84,101.64,102.51,103.44
"전국","2017",102.93,105.78,102.21,102.90,100.87,102.67,101.88,101.29,100.38,101.90,102.80,104.97,106.31
"전국","2018",104.45,108.72,102.47,104.04,101.58,104.99,101.83,103.74,99.52,102.39,104.21,108.14,106.94
"전국","2019",104.85,108.77,103.11,104.15,102.75,107.23,102.30,101.88,97.24,102.14,104.76,110.10,108.65
