"시도별","시점",01 식료품 · 비주류음료,01.1 식료품,과일,사과,배,복숭아,포도,밤,감,귤,오렌지,참외,수박,딸기,바나나,키위,블루베리,아몬드,과일가공품
"전국","1980",-,-,-,17.713,12.729,9.700,23.795,25.449,32.990,38.108,-,18.783,14.978,10.427,-,-,-,-,24.501
"전국","1981",-,-,-,18.528,15.607,13.199,31.022,22.539,38.390,30.308,-,24.605,19.152,14.513,-,-,-,-,30.884
"전국","1982",-,-,-,18.876,18.849,13.610,36.004,22.606,39.849,31.393,-,22.822,20.746,14.564,-,-,-,-,32.105
"전국","1983",-,-,-,15.799,16.002,11.500,34.423,24.479,46.501,30.061,-,19.319,20.580,12.545,-,-,-,-,31.825
"전국","1984",-,-,-,14.875,16.618,11.323,27.686,19.408,53.246,26.488,-,20.785,22.971,15.902,-,-,-,-,32.147
"전국","1985",23.577,23.206,21.752,19.985,21.625,11.442,27.937,22.056,48.699,37.358,-,21.247,23.497,15.342,-,-,-,-,32.454
"전국","1986",24.091,23.669,20.924,17.107,24.725,11.496,30.053,22.131,53.815,33.855,-,20.593,23.995,14.327,-,-,-,-,32.307
"전국","1987",24.836,24.432,25.039,21.932,28.255,13.069,28.519,28.816,63.820,47.416,-,23.145,28.185,18.786,-,-,-,-,31.967
"전국","1988",27.457,27.132,27.746,19.852,33.393,15.411,33.370,37.131,74.288,45.652,-,30.048,36.953,22.423,-,-,-,-,31.885
"전국","1989",29.147,28.870,29.996,21.086,28.756,16.507,40.994,25.538,76.970,49.120,-,38.544,43.573,26.668,-,-,-,-,34.801
"전국","1990",32.018,31.777,32.274,18.610,31.593,20.128,51.917,36.874,85.440,40.040,-,44.653,49.142,32.198,171.573,-,-,-,37.257
"전국","1991",35.537,35.370,43.829,26.148,50.694,25.864,65.196,35.917,110.405,77.318,-,53.027,58.652,36.276,78.290,-,-,-,43.717
"전국","1992",37.410,37.126,45.953,28.684,53.719,29.566,83.244,35.846,114.432,70.595,-,51.648,58.885,47.820,55.689,-,-,-,45.412
"전국","1993",38.541,38.243,41.438,22.859,51.873,29.353,92.216,45.366,90.319,59.760,-,56.019,52.143,45.968,53.589,-,-,-,50.109
"전국","1994",42.471,42.254,50.130,29.730,61.234,36.115,97.761,83.733,128.292,66.633,-,59.277,69.861,44.004,52.399,-,-,-,52.396
"전국","1995",43.757,43.426,56.326,32.626,60.682,43.307,110.856,53.157,113.683,105.888,138.497,52.338,66.418,46.692,52.719,-,-,-,55.087
