"시도별","지출목적별",1998. 01,1998. 02,1998. 03,1998. 04,1998. 05,1998. 06,1998. 07,1998. 08,1998. 09,1998. 10,1998. 11,1998. 12,1999. 01,1999. 02,1999. 03,1999. 04,1999. 05,1999. 06,1999. 07,1999. 08,1999. 09,1999. 10,1999. 11,1999. 12,2000. 01,2000. 02,2000. 03,2000. 04,2000. 05,2000. 06,2000. 07,2000. 08,2000. 09,2000. 10,2000. 11,2000. 12,2001. 01,2001. 02,2001. 03,2001. 04,2001. 05,2001. 06,2001. 07,2001. 08,2001. 09,2001. 10,2001. 11,2001. 12,2002. 01,2002. 02,2002. 03,2002. 04,2002. 05,2002. 06,2002. 07,2002. 08,2002. 09,2002. 10,2002. 11,2002. 12,2003. 01,2003. 02,2003. 03,2003. 04,2003. 05,2003. 06,2003. 07,2003. 08,2003. 09,2003. 10,2003. 11,2003. 12,2004. 01,2004. 02,2004. 03,2004. 04,2004. 05,2004. 06,2004. 07,2004. 08,2004. 09,2004. 10,2004. 11,2004. 12,2005. 01,2005. 02,2005. 03,2005. 04,2005. 05,2005. 06,2005. 07,2005. 08,2005. 09,2005. 10,2005. 11,2005. 12,2006. 01,2006. 02,2006. 03,2006. 04,2006. 05,2006. 06,2006. 07,2006. 08,2006. 09,2006. 10,2006. 11,2006. 12,2007. 01,2007. 02,2007. 03,2007. 04,2007. 05,2007. 06,2007. 07,2007. 08,2007. 09,2007. 10,2007. 11,2007. 12,2008. 01,2008. 02,2008. 03,2008. 04,2008. 05,2008. 06,2008. 07,2008. 08,2008. 09,2008. 10,2008. 11,2008. 12,2009. 01,2009. 02,2009. 03,2009. 04,2009. 05,2009. 06,2009. 07,2009. 08,2009. 09,2009. 10,2009. 11,2009. 12,2010. 01,2010. 02,2010. 03,2010. 04,2010. 05,2010. 06,2010. 07,2010. 08,2010. 09,2010. 10,2010. 11,2010. 12,2011. 01,2011. 02,2011. 03,2011. 04,2011. 05,2011. 06,2011. 07,2011. 08,2011. 09,2011. 10,2011. 11,2011. 12,2012. 01,2012. 02,2012. 03,2012. 04,2012. 05,2012. 06,2012. 07,2012. 08,2012. 09,2012. 10,2012. 11,2012. 12,2013. 01,2013. 02,2013. 03,2013. 04,2013. 05,2013. 06,2013. 07,2013. 08,2013. 09,2013. 10,2013. 11,2013. 12,2014. 01,2014. 02,2014. 03,2014. 04,2014. 05,2014. 06,2014. 07,2014. 08,2014. 09,2014. 10,2014. 11,2014. 12,2015. 01,2015. 02,2015. 03,2015. 04,2015. 05,2015. 06,2015. 07,2015. 08,2015. 09,2015. 10,2015. 11,2015. 12,2016. 01,2016. 02,2016. 03,2016. 04,2016. 05,2016. 06,2016. 07,2016. 08,2016. 09,2016. 10,2016. 11,2016. 12,2017. 01,2017. 02,2017. 03,2017. 04,2017. 05,2017. 06,2017. 07,2017. 08,2017. 09,2017. 10,2017. 11,2017. 12,2018. 01,2018. 02,2018. 03,2018. 04,2018. 05,2018. 06,2018. 07,2018. 08,2018. 09,2018. 10,2018. 11,2018. 12,2019. 01,2019. 02,2019. 03,2019. 04,2019. 05,2019. 06,2019. 07,2019. 08,2019. 09,2019. 10,2019. 11,2019. 12
"전국","0 총지수",63.685,64.782,64.672,64.891,64.562,64.288,64.288,64.507,64.782,65.000,64.782,64.672,64.617,64.891,65.000,65.164,65.055,64.672,64.452,65.111,65.275,65.768,65.658,65.548,65.839,66.040,66.372,66.106,65.773,66.106,66.372,66.704,67.570,67.504,67.104,67.370,68.103,68.435,69.035,69.301,69.234,69.434,69.567,69.833,69.767,69.767,69.368,69.501,69.900,70.233,70.632,71.032,71.298,71.231,71.032,71.498,71.898,71.697,71.764,72.096,72.564,72.962,73.828,73.695,73.562,73.362,73.296,73.628,74.294,74.360,74.227,74.561,75.027,75.359,76.091,76.091,76.025,76.025,76.491,77.156,77.156,77.156,76.691,76.824,77.580,77.895,78.365,78.444,78.365,78.129,78.444,78.679,79.071,78.914,78.600,78.836,79.306,79.464,79.934,80.013,80.169,80.013,80.326,80.797,81.032,80.640,80.248,80.483,80.640,81.189,81.660,81.973,82.052,82.052,82.366,82.444,82.915,83.072,83.072,83.386,83.777,84.092,84.876,85.347,86.052,86.601,87.229,87.072,87.151,87.072,86.837,86.837,86.916,87.543,88.170,88.405,88.405,88.327,88.641,88.955,89.034,88.798,88.955,89.269,89.974,90.156,90.338,90.702,90.793,90.702,90.884,91.340,92.068,92.068,91.613,91.977,93.070,93.707,94.072,94.163,94.345,94.527,94.982,95.620,95.529,95.347,95.438,95.802,96.184,96.549,96.576,96.567,96.740,96.603,96.385,96.831,97.523,97.341,96.995,97.168,97.751,98.078,97.987,97.851,97.851,97.732,97.942,98.288,98.479,98.179,98.160,98.279,98.807,99.071,99.253,99.317,99.481,99.353,99.499,99.672,99.608,99.308,99.108,99.098,99.77,99.71,99.72,99.75,100.03,100.05,100.23,100.37,100.11,100.11,99.92,100.22,100.39,100.82,100.56,100.75,100.81,100.79,100.60,100.86,101.46,101.60,101.45,101.56,102.64,102.92,102.85,102.72,102.83,102.61,102.78,103.37,103.49,103.39,102.62,102.99,103.42,104.21,104.10,104.29,104.34,104.13,103.93,104.85,105.65,105.46,104.71,104.35,104.24,104.69,104.49,104.87,105.05,104.88,104.56,104.81,105.20,105.46,104.87,105.12
"전국","01 식료품 · 비주류음료",49.357,50.319,50.933,51.546,51.939,50.801,51.021,52.377,52.990,53.121,52.332,52.508,52.990,54.039,54.258,54.608,54.039,52.640,52.070,54.434,54.697,55.264,54.258,54.083,54.820,55.311,55.039,54.005,53.081,53.135,53.733,54.277,56.833,55.692,53.407,53.461,54.875,55.419,56.779,57.214,56.453,57.106,57.866,59.281,58.682,58.465,56.670,57.269,58.465,60.096,59.499,59.825,60.314,59.825,58.955,60.858,62.327,59.661,59.118,60.151,61.347,61.945,63.142,62.490,61.511,60.532,60.532,61.945,64.882,65.427,64.393,64.393,65.481,66.296,67.711,67.494,66.786,66.569,67.602,70.212,70.375,69.723,67.547,67.494,68.842,70.310,70.520,70.869,70.100,68.842,69.751,70.100,71.498,70.590,68.003,69.122,70.450,70.170,70.240,70.030,69.401,68.772,69.192,71.848,72.547,71.008,69.122,70.170,70.520,72.127,71.498,71.707,71.219,70.799,71.707,71.848,73.945,74.084,72.127,72.476,72.686,73.316,73.175,74.294,74.573,74.433,75.831,77.159,77.928,77.299,77.439,78.697,80.375,80.654,81.982,83.310,82.750,80.444,81.073,81.702,81.492,81.003,79.745,81.003,82.960,83.912,84.517,85.815,85.382,84.258,84.690,86.853,91.265,91.438,88.497,88.497,91.438,93.255,92.995,92.217,91.265,91.957,93.687,96.542,96.282,94.033,93.774,95.158,96.871,96.533,97.485,97.113,96.948,96.412,95.755,96.957,100.495,98.886,96.455,97.156,99.146,99.673,98.705,98.808,97.788,96.672,97.372,99.647,99.673,97.442,95.902,96.248,97.346,98.341,98.601,98.514,98.523,98.090,98.402,99.198,99.855,97.909,97.580,98.160,99.72,100.39,99.44,99.34,100.79,100.49,100.23,100.89,100.69,99.69,98.37,99.95,100.76,103.43,102.25,102.30,101.24,99.66,99.65,101.02,105.94,104.48,102.93,104.02,107.16,107.26,106.32,105.19,104.85,104.09,104.39,107.50,108.84,106.16,103.20,104.44,106.00,109.07,107.32,107.86,106.85,105.48,105.80,111.34,115.20,112.16,108.67,108.86,108.80,109.54,108.48,109.40,108.83,107.64,106.68,107.70,110.52,110.74,107.89,109.01
"전국","02 주류 및 담배",41.526,41.911,43.138,43.593,43.663,43.804,43.804,43.838,43.838,43.804,43.734,43.663,46.291,46.257,46.221,46.186,46.151,46.186,46.151,46.151,46.151,46.151,46.117,46.046,46.883,46.790,46.651,46.511,46.557,46.464,46.418,46.557,46.511,46.418,46.418,46.464,49.024,49.024,48.978,48.745,48.885,48.885,48.792,48.838,48.838,48.792,48.792,48.838,49.024,52.842,52.842,52.842,52.842,52.796,52.703,52.842,52.796,52.842,52.796,52.796,52.796,53.448,54.053,54.239,54.146,54.146,54.007,54.146,54.146,54.146,54.099,54.146,54.099,54.099,54.146,54.146,54.797,54.751,54.751,54.797,54.797,54.845,54.845,54.797,62.611,62.674,62.674,62.611,62.674,62.674,62.674,62.674,62.674,62.736,62.736,62.736,62.611,62.548,62.548,62.548,62.485,62.485,62.485,62.485,62.611,62.611,62.611,62.611,62.548,62.548,62.611,62.611,62.674,62.862,62.925,62.987,62.987,62.987,62.987,62.987,62.987,62.987,62.987,62.987,62.987,62.987,62.987,63.363,63.363,63.363,63.363,63.363,63.677,63.739,63.802,63.802,63.865,63.865,63.802,63.865,63.927,63.927,63.990,64.052,64.179,64.179,64.051,64.115,64.051,64.115,63.987,64.115,64.179,64.179,64.179,64.115,64.115,64.051,64.051,63.987,64.885,64.821,64.821,64.949,64.949,64.949,64.949,64.885,64.955,65.436,65.340,65.423,65.231,65.436,65.340,65.673,66.000,66.039,66.032,66.103,66.564,66.564,66.712,66.622,66.654,66.661,66.667,66.693,66.718,66.744,66.782,66.757,66.686,66.744,66.654,66.641,66.545,66.507,66.507,66.635,66.635,66.648,66.680,66.673,99.78,99.83,99.80,99.92,99.93,99.84,100.15,100.18,100.12,100.14,100.02,100.31,100.49,100.65,100.67,100.73,100.74,100.58,100.54,100.80,100.62,100.71,100.87,100.85,101.29,102.04,102.11,102.30,102.12,102.31,102.38,102.45,102.49,102.36,102.32,102.29,102.48,102.58,102.39,102.52,102.37,102.34,102.54,102.52,102.45,102.44,102.65,102.39,102.57,102.60,102.26,102.66,103.12,103.31,103.33,103.38,103.60,103.67,103.40,103.45
"전국","03 의류 및 신발",62.754,62.931,63.110,63.287,63.287,63.346,63.287,63.287,63.346,63.583,63.820,63.997,63.938,63.938,63.938,63.938,63.997,64.649,64.708,64.708,64.708,64.886,64.826,64.826,64.721,64.785,64.785,64.721,64.916,65.374,65.439,65.505,65.505,66.420,65.570,66.812,66.877,66.877,65.766,66.943,67.531,67.531,67.335,67.531,67.597,67.858,67.270,68.642,68.642,68.511,68.642,68.773,69.165,69.296,69.035,69.296,69.426,70.473,70.604,71.126,71.258,71.453,71.650,71.650,72.107,72.173,72.107,72.303,72.434,72.173,70.800,72.238,72.173,72.369,72.500,72.564,72.173,72.173,71.911,72.042,72.042,72.107,70.800,72.238,72.311,72.311,72.311,72.384,72.748,72.748,72.748,72.748,72.748,73.476,73.622,73.622,73.622,73.840,73.840,73.840,74.860,74.932,74.860,74.932,74.932,75.442,76.025,76.025,76.025,76.098,76.098,76.098,76.680,76.680,76.971,76.971,76.971,77.190,77.555,77.772,77.772,77.700,77.772,77.846,78.646,78.719,78.865,78.938,79.010,79.084,79.812,80.540,80.613,80.831,80.976,80.685,82.797,83.307,83.380,83.089,83.525,83.599,84.836,84.909,84.714,84.629,84.629,84.629,84.799,85.310,85.395,85.395,85.480,85.395,84.884,86.417,86.502,86.587,86.672,86.757,87.779,87.864,88.290,88.375,88.375,87.949,90.248,90.248,90.214,90.997,91.023,90.648,92.147,92.760,92.751,92.751,92.760,92.342,93.875,93.875,93.849,94.045,94.020,93.092,94.343,94.582,93.994,94.590,95.178,95.152,97.859,97.774,97.749,97.757,97.894,97.859,98.345,98.949,98.881,98.907,98.941,99.009,99.979,99.894,99.68,99.49,99.55,99.14,99.79,99.79,99.84,99.95,100.34,99.96,101.08,101.38,100.74,101.51,101.51,101.55,102.02,102.03,101.30,102.03,102.05,102.14,102.11,102.56,102.03,102.66,102.69,101.73,103.06,103.19,102.49,103.22,103.28,103.28,103.23,103.94,103.34,103.96,104.05,104.06,104.08,104.10,103.98,103.98,104.05,104.05,104.40,104.44,103.76,104.41,104.10,103.82,103.92,103.97,103.98,103.98,104.02,104.20,104.80,104.80
"전국","04 주택 ·수도 · 전기 및 연료",64.403,65.851,64.779,64.832,63.114,62.899,62.792,62.686,62.631,62.363,62.363,61.986,61.343,61.021,61.021,61.075,61.235,61.075,61.021,60.968,61.235,62.310,62.739,62.578,62.375,62.694,62.885,62.822,62.758,63.523,63.587,63.905,64.287,64.797,65.307,65.817,66.072,66.454,66.836,67.155,67.410,67.664,67.856,67.856,68.047,68.238,68.302,68.365,68.429,68.047,68.302,68.747,69.066,69.257,69.320,69.448,69.702,70.403,70.786,70.977,71.168,71.614,71.996,72.060,72.251,72.315,72.506,72.570,72.633,72.633,72.888,73.207,73.589,74.099,74.354,74.226,74.354,74.354,74.672,74.864,74.991,75.501,75.501,75.564,75.954,75.954,76.106,75.649,75.801,75.649,75.954,76.106,76.259,76.335,76.639,76.715,77.399,77.781,77.705,77.705,77.781,77.857,78.389,78.617,79.303,79.226,78.694,78.846,78.922,79.150,79.074,79.150,79.531,79.607,79.911,80.064,80.748,80.824,81.510,81.814,81.586,81.966,82.270,82.956,83.564,84.173,84.402,84.402,84.173,84.173,84.402,83.945,83.717,83.869,84.097,84.097,83.869,83.945,84.554,84.858,84.934,84.858,85.087,85.315,85.733,85.906,85.993,85.993,86.166,86.166,86.252,86.511,87.116,87.203,86.943,87.289,88.153,88.672,89.018,89.277,89.968,90.228,90.400,90.832,91.092,91.870,92.129,92.475,92.846,93.555,93.866,93.961,94.065,94.194,94.687,95.076,95.102,95.370,95.473,95.785,96.338,96.804,97.444,97.513,97.721,97.755,97.876,98.161,98.222,98.395,98.835,99.026,99.950,100.322,100.365,100.512,100.650,100.719,100.650,100.763,100.815,100.936,101.013,101.048,100.52,100.83,100.02,100.14,99.45,99.57,99.00,99.15,99.55,100.46,100.58,100.75,99.97,100.29,99.55,99.60,99.34,99.49,97.35,97.48,97.53,99.83,100.40,99.41,99.71,100.28,100.62,100.71,101.06,101.15,101.15,101.28,101.32,101.56,100.69,100.88,101.06,101.63,101.80,101.78,101.76,101.68,100.08,100.33,102.04,102.32,102.24,102.22,101.96,103.15,103.01,102.76,102.84,102.90,101.47,101.55,103.18,103.34,103.33,103.50
"전국","05 가정용품 및 가사 서비스",75.157,76.802,78.234,79.165,79.308,79.308,78.736,77.304,76.588,76.517,76.445,76.445,76.374,77.161,77.090,76.946,76.875,76.731,76.588,76.445,76.302,76.159,76.015,75.514,74.900,74.602,74.378,74.154,74.303,74.528,74.528,74.751,74.826,74.677,74.751,74.826,75.124,75.945,75.945,75.796,75.871,75.722,75.571,76.318,76.542,76.243,76.318,76.616,76.616,76.765,76.691,76.691,76.616,76.616,76.393,76.542,76.765,76.914,76.840,77.288,77.810,78.481,78.630,78.407,78.481,78.332,77.885,77.959,78.630,78.481,78.034,78.332,77.959,78.257,78.407,79.003,79.227,79.301,79.152,79.376,78.779,78.630,78.705,79.525,79.790,79.870,79.790,79.473,79.473,79.314,79.077,79.077,79.077,78.918,78.918,78.997,78.680,78.680,78.680,78.759,78.997,79.473,79.393,80.029,80.186,80.107,80.345,80.425,80.742,80.821,81.059,81.218,81.138,81.218,81.218,81.932,82.329,82.329,82.407,82.249,82.407,82.329,82.645,82.645,84.549,85.421,86.373,86.373,86.770,86.770,87.484,87.959,88.198,88.435,88.514,88.753,88.991,89.705,89.387,89.308,88.911,88.753,89.070,88.991,88.508,88.776,88.597,88.687,89.133,89.222,88.954,89.311,89.490,89.847,89.936,90.293,90.739,91.542,91.988,91.720,92.345,92.702,92.702,92.791,93.326,93.326,93.415,93.862,94.575,95.271,95.476,94.968,95.476,95.494,95.128,95.146,95.744,95.155,95.209,94.656,94.781,95.494,95.387,95.075,95.012,95.432,94.861,95.173,95.601,96.003,96.618,95.914,96.395,97.047,97.270,96.859,97.645,97.074,97.082,97.502,98.251,98.153,98.126,98.305,98.91,99.87,100.18,99.53,100.15,100.02,99.90,100.42,99.99,99.95,100.34,100.74,100.91,101.27,101.73,101.29,101.06,101.80,101.93,101.89,102.13,101.62,101.46,101.54,100.74,101.89,102.52,102.24,102.85,103.58,102.43,102.70,102.99,103.56,103.17,103.33,103.50,104.33,105.08,104.60,105.36,104.93,105.39,105.33,105.07,105.50,105.39,105.37,106.17,107.66,107.58,108.06,106.95,106.67,107.65,107.28,106.53,107.80,106.96,107.47
"전국","06 보건",65.933,66.228,66.523,66.642,66.819,67.291,68.531,68.590,68.707,68.826,69.062,69.121,69.121,69.003,68.648,68.472,68.413,68.472,68.413,68.413,68.354,68.294,69.239,69.357,71.002,70.928,71.002,71.960,72.034,71.960,72.550,74.467,77.195,77.195,77.195,77.268,82.283,82.577,82.798,82.798,82.872,82.946,81.177,81.618,81.618,81.545,81.545,81.618,81.840,81.988,82.061,81.103,81.250,81.472,81.545,81.472,81.618,81.766,81.840,82.061,83.093,83.093,83.093,83.168,83.536,83.683,83.757,83.830,83.757,83.609,83.609,83.683,84.716,84.716,84.716,84.716,84.716,84.716,84.716,84.716,84.642,84.642,84.642,84.642,86.126,86.212,86.299,86.385,86.472,86.558,86.558,86.732,86.732,86.818,86.905,86.991,88.031,88.117,88.117,88.117,88.117,88.204,88.289,88.376,88.463,88.463,88.376,88.549,89.502,89.675,89.675,89.848,89.848,89.848,89.848,89.762,89.848,89.848,89.935,90.021,90.800,91.146,91.233,91.233,91.493,91.493,91.579,91.666,91.752,91.926,92.012,92.099,93.050,93.137,93.224,93.310,93.397,93.483,93.743,93.830,93.830,93.830,93.916,93.570,94.879,94.974,94.974,95.069,95.164,95.164,95.259,95.354,95.450,95.164,95.259,95.259,96.116,96.496,96.306,96.496,96.496,96.877,96.972,97.163,97.258,97.258,97.258,97.353,98.457,98.790,98.866,97.505,97.676,97.819,97.201,97.172,97.267,97.277,97.324,97.343,98.228,98.276,98.343,98.171,98.514,98.495,97.581,97.667,97.857,97.914,97.914,97.933,98.885,98.866,98.923,98.809,98.856,98.771,98.847,98.447,98.457,98.761,98.780,98.780,99.84,100.04,100.10,100.05,100.04,100.04,100.00,100.03,99.80,100.08,99.99,100.00,100.99,100.94,100.93,100.99,101.01,101.03,101.01,100.93,100.97,100.91,101.03,101.09,102.13,102.13,102.03,101.71,101.74,102.22,102.27,102.28,101.73,101.57,101.31,101.45,102.51,102.55,102.65,102.21,102.19,102.36,101.32,101.37,101.32,101.22,101.14,101.10,102.04,102.14,102.11,102.19,102.20,102.51,102.31,102.32,102.41,102.46,102.43,102.53
"전국","07 교통",65.494,67.952,65.253,65.398,65.109,66.024,65.542,65.205,66.265,68.192,67.999,67.615,66.843,66.795,66.747,67.469,67.615,67.518,67.469,67.662,68.290,69.205,69.542,69.157,69.024,68.884,68.954,68.528,68.670,70.088,70.654,72.214,73.347,73.490,73.063,73.631,73.419,73.419,73.490,73.915,73.915,74.127,74.340,74.056,73.915,73.915,73.560,72.001,72.356,72.426,72.710,73.915,74.765,74.765,74.552,74.410,75.049,75.756,76.041,76.111,76.678,77.599,79.229,78.095,77.812,77.458,76.891,76.749,76.749,76.678,77.245,77.671,78.238,78.734,79.088,78.804,79.088,79.159,80.505,81.214,81.214,81.923,81.994,81.427,81.187,81.439,82.364,83.122,82.953,83.205,84.468,85.309,86.655,86.655,86.235,86.066,86.824,87.076,87.160,87.833,88.590,88.675,89.347,89.600,89.179,87.665,87.160,87.244,87.328,87.328,88.338,90.609,91.367,91.703,92.124,91.955,92.039,92.376,93.806,94.984,96.246,96.162,96.751,97.845,101.042,104.660,105.921,102.893,100.620,100.369,95.657,92.039,90.441,93.049,93.723,94.480,93.890,95.657,96.920,98.097,98.349,97.003,98.181,98.266,99.071,98.970,99.773,100.576,100.777,100.476,100.978,100.777,99.974,100.175,100.476,102.283,104.491,105.093,107.101,107.402,107.101,106.599,107.904,108.406,108.205,108.907,108.707,108.707,109.148,110.293,111.959,112.541,112.310,111.096,109.148,110.393,111.487,111.437,110.433,110.122,110.433,110.975,111.818,110.855,109.389,109.419,110.323,110.925,110.423,109.992,109.289,109.510,110.333,110.142,110.062,109.891,109.761,109.349,109.319,108.857,107.874,107.000,105.565,103.939,100.45,98.17,99.60,99.57,100.36,101.10,102.29,101.64,99.95,99.58,98.92,98.38,97.68,96.16,95.71,96.12,96.90,98.53,99.19,98.68,98.27,98.31,98.48,99.40,101.40,101.98,101.79,101.32,101.25,100.55,99.95,100.28,100.87,101.80,101.96,102.30,102.80,103.07,103.00,102.72,103.63,104.34,104.26,104.53,104.68,106.11,104.38,101.34,98.91,98.71,99.30,100.78,103.06,103.31,102.58,102.59,102.99,103.60,103.12,103.58
"전국","08 통신",135.723,134.326,134.466,134.885,134.885,134.885,134.885,134.885,134.885,134.746,134.466,134.326,134.187,134.187,133.906,135.582,135.304,135.304,135.304,134.604,133.210,132.928,132.512,132.372,137.442,137.311,137.311,136.393,128.532,129.450,129.187,127.222,127.484,127.353,127.353,127.222,127.091,127.222,127.353,127.353,127.615,127.615,126.435,126.435,126.435,125.912,126.174,126.960,126.829,122.506,122.506,122.506,122.768,119.885,119.885,119.491,119.491,119.491,119.360,119.360,119.099,115.954,115.693,115.168,114.776,114.644,114.644,113.858,113.858,113.858,113.727,113.727,113.727,113.727,113.727,113.727,113.727,113.727,113.727,113.727,113.727,111.238,111.368,111.368,111.940,111.940,111.496,111.496,111.496,110.940,110.607,110.718,110.497,110.497,110.497,110.497,110.053,110.053,110.053,110.053,110.053,109.830,109.830,109.386,109.386,109.164,108.831,108.831,108.053,107.498,107.387,107.387,107.276,107.165,107.387,107.387,107.387,107.387,107.387,107.387,106.054,106.054,106.054,105.943,105.832,105.832,105.832,105.832,105.832,105.721,105.721,105.721,105.721,105.721,105.721,105.721,105.721,105.721,105.721,105.721,105.721,105.721,105.610,105.499,105.304,105.304,104.676,104.676,104.676,104.676,104.676,104.676,104.676,104.676,104.676,104.047,104.047,104.047,103.943,103.943,103.943,103.943,103.943,103.943,101.954,101.640,100.698,100.384,100.384,100.384,100.384,100.384,100.384,100.384,100.384,100.384,100.384,100.384,100.384,100.384,100.384,100.384,100.384,100.112,100.248,100.248,100.248,100.258,100.195,100.195,100.195,100.195,100.195,100.195,100.195,100.290,100.290,100.206,100.206,100.206,100.154,100.154,100.154,100.059,100.40,100.40,100.39,99.77,99.73,100.28,100.28,100.28,99.85,99.42,99.61,99.61,99.27,99.27,99.27,100.42,100.42,100.42,100.42,100.42,100.49,100.53,100.05,100.05,100.01,100.01,99.27,100.06,100.06,100.32,100.90,100.90,100.91,100.80,100.69,100.58,99.89,99.76,99.67,100.15,100.04,99.94,99.39,99.29,99.21,99.16,98.99,98.70,98.35,97.50,97.25,97.52,97.32,97.17,96.76,97.13,97.40,97.33,96.57,96.52
"전국","09 오락 및 문화",95.571,97.633,98.083,97.903,97.903,97.274,96.289,96.379,97.096,97.096,97.274,97.724,98.083,99.247,98.530,97.544,97.274,96.648,96.379,96.468,96.379,96.289,96.468,96.379,96.146,96.916,96.916,96.435,96.532,96.435,96.146,95.858,95.762,95.569,95.569,95.378,95.858,97.012,97.204,96.532,96.340,95.954,95.762,95.667,95.474,94.608,94.512,94.608,94.993,95.954,95.281,96.820,96.820,96.051,96.340,97.109,96.532,96.628,96.724,97.301,97.685,97.685,97.204,97.301,96.916,96.532,96.628,96.435,95.954,96.051,96.243,96.628,97.109,96.724,96.532,96.532,96.628,96.435,97.109,96.820,96.243,96.243,96.532,97.396,97.675,97.772,97.578,97.288,97.191,96.320,96.514,96.707,97.094,95.739,95.642,95.933,95.933,95.739,95.642,95.545,95.351,94.093,94.190,93.803,93.609,93.319,93.222,93.416,93.416,94.093,93.609,93.222,92.738,92.544,92.835,92.544,92.351,92.254,92.254,92.448,93.029,93.416,93.609,93.416,93.512,93.416,94.287,94.771,94.384,94.577,95.642,96.707,96.804,96.223,96.514,96.804,96.610,96.223,96.416,96.610,96.127,96.127,96.320,96.223,96.486,96.583,96.486,96.583,96.875,96.583,98.042,98.236,98.236,97.847,97.653,97.555,98.236,98.236,98.723,98.723,99.209,98.917,99.403,99.209,98.820,98.723,98.625,98.723,99.044,98.810,98.450,99.112,99.248,98.402,99.715,99.433,99.014,99.374,98.703,99.267,99.238,99.112,99.228,99.549,100.065,99.433,101.534,102.244,100.999,100.298,99.374,99.686,100.162,99.287,99.472,100.736,101.504,100.133,101.845,103.206,100.697,100.619,98.898,99.345,100.04,99.38,98.40,99.88,100.29,99.02,101.47,101.71,100.21,100.68,99.11,99.82,100.08,100.77,100.35,100.72,102.40,101.55,103.75,104.43,103.16,102.30,101.40,101.22,102.80,101.91,101.57,103.15,102.07,100.08,103.21,103.33,101.83,102.82,99.96,100.02,100.45,101.87,101.56,103.14,103.33,101.41,103.05,103.81,103.93,103.48,101.81,100.87,101.58,102.44,101.70,102.74,102.32,101.29,102.81,103.65,102.54,102.90,101.20,100.52
