"시도(1)","가공명(1)","과실류(1)",2010,2011,2012,2013,2014,2015,2016,2017
"제주특별자치도","통조림","감귤",0,0,0,0,0,0,0,0
"제주특별자치도","쥬스","감귤",85546,98461,45213,82257,144241,80667,40221,38811.44
"제주특별자치도","넥타","감귤",0,0,0,0,250,530,436,30624.8
"제주특별자치도","쨈","감귤",96,120,60,0,7,0,21,26
"제주특별자치도","술","감귤",1,11,0,0,0,47,39,12.7
"제주특별자치도","식초","감귤",0,0,0,0,0,0,0,0
"제주특별자치도","음료","감귤",50,525,501,706,35,0,24847,1597.6
"제주특별자치도","조미","감귤",0,0,0,0,0,0,0,0
"제주특별자치도","사료","감귤",0,0,0,0,0,0,0,0
"제주특별자치도","즙청","감귤",0,0,0,40,25,10,5,0.8
"제주특별자치도","분말차","감귤",0,0,0,13,0,0,166,2
"제주특별자치도","건조","감귤",-,-,-,-,-,-,-,130
"제주특별자치도","기타","감귤",148,246,29796,5826,6098,1466,1056,116.2
