"계정항목코드별","시점","생산자물가지수(품목별)(2015=100)",
"총지수[2015=100]","1985 년","51.94",
"총지수[2015=100]","1986 년","51.18",
"총지수[2015=100]","1987 년","51.41",
"총지수[2015=100]","1988 년","52.81",
"총지수[2015=100]","1989 년","53.59",
"총지수[2015=100]","1990 년","55.83",
"총지수[2015=100]","1991 년","58.46",
"총지수[2015=100]","1992 년","59.73",
"총지수[2015=100]","1993 년","60.64",
"총지수[2015=100]","1994 년","62.28",
"총지수[2015=100]","1995 년","65.19",
"총지수[2015=100]","1996 년","67.31",
"총지수[2015=100]","1997 년","69.86",
"총지수[2015=100]","1998 년","78.39",
"총지수[2015=100]","1999 년","76.76",
"총지수[2015=100]","2000 년","78.35",
"총지수[2015=100]","2001 년","77.98",
"총지수[2015=100]","2002 년","77.76",
"총지수[2015=100]","2003 년","79.45",
"총지수[2015=100]","2004 년","84.27",
"총지수[2015=100]","2005 년","86.06",
"총지수[2015=100]","2006 년","86.85",
"총지수[2015=100]","2007 년","88.09",
"총지수[2015=100]","2008 년","95.63",
"총지수[2015=100]","2009 년","95.42",
"총지수[2015=100]","2010 년","99.06",
"총지수[2015=100]","2011 년","105.71",
"총지수[2015=100]","2012 년","106.44",
"총지수[2015=100]","2013 년","104.74",
"총지수[2015=100]","2014 년","104.18",
"총지수[2015=100]","2015 년","100",
"총지수[2015=100]","2016 년","98.18",
"총지수[2015=100]","2017 년","101.57",
"총지수[2015=100]","2018 년","103.48",
"감귤[2015=100]","1985 년","52.76",
"감귤[2015=100]","1986 년","41.75",
"감귤[2015=100]","1987 년","50.6",
"감귤[2015=100]","1988 년","58.17",
"감귤[2015=100]","1989 년","63.41",
"감귤[2015=100]","1990 년","54.55",
"감귤[2015=100]","1991 년","112.21",
"감귤[2015=100]","1992 년","89.08",
"감귤[2015=100]","1993 년","67.07",
"감귤[2015=100]","1994 년","88.38",
"감귤[2015=100]","1995 년","160.07",
"감귤[2015=100]","1996 년","101.8",
"감귤[2015=100]","1997 년","144.93",
"감귤[2015=100]","1998 년","95.98",
"감귤[2015=100]","1999 년","113.29",
"감귤[2015=100]","2000 년","58.74",
"감귤[2015=100]","2001 년","90.97",
"감귤[2015=100]","2002 년","84.83",
"감귤[2015=100]","2003 년","57.45",
"감귤[2015=100]","2004 년","96.77",
"감귤[2015=100]","2005 년","143.35",
"감귤[2015=100]","2006 년","100.05",
"감귤[2015=100]","2007 년","157.5",
"감귤[2015=100]","2008 년","59.02",
"감귤[2015=100]","2009 년","73.2",
"감귤[2015=100]","2010 년","83.75",
"감귤[2015=100]","2011 년","78.69",
"감귤[2015=100]","2012 년","234.13",
"감귤[2015=100]","2013 년","83.44",
"감귤[2015=100]","2014 년","98.63",
"감귤[2015=100]","2015 년","100",
"감귤[2015=100]","2016 년","126.65",
"감귤[2015=100]","2017 년","217.11",
"감귤[2015=100]","2018 년","95.83",
"무연탄[2015=100]","1985 년","24.66",
"무연탄[2015=100]","1986 년","26.28",
"무연탄[2015=100]","1987 년","27.84",
"무연탄[2015=100]","1988 년","29.38",
"무연탄[2015=100]","1989 년","30.05",
"무연탄[2015=100]","1990 년","30.05",
"무연탄[2015=100]","1991 년","29.98",
"무연탄[2015=100]","1992 년","29.98",
"무연탄[2015=100]","1993 년","29.98",
"무연탄[2015=100]","1994 년","29.98",
"무연탄[2015=100]","1995 년","30",
"무연탄[2015=100]","1996 년","30",
"무연탄[2015=100]","1997 년","30.48",
"무연탄[2015=100]","1998 년","33.67",
"무연탄[2015=100]","1999 년","38.92",
"무연탄[2015=100]","2000 년","44.66",
"무연탄[2015=100]","2001 년","44.66",
"무연탄[2015=100]","2002 년","44.71",
"무연탄[2015=100]","2003 년","46.92",
"무연탄[2015=100]","2004 년","49.32",
"무연탄[2015=100]","2005 년","53.83",
"무연탄[2015=100]","2006 년","58.22",
"무연탄[2015=100]","2007 년","64.04",
"무연탄[2015=100]","2008 년","72.18",
"무연탄[2015=100]","2009 년","81.94",
"무연탄[2015=100]","2010 년","86.76",
"무연탄[2015=100]","2011 년","92.18",
"무연탄[2015=100]","2012 년","99.77",
"무연탄[2015=100]","2013 년","99.93",
"무연탄[2015=100]","2014 년","100.64",
"무연탄[2015=100]","2015 년","100",
"무연탄[2015=100]","2016 년","102.01",
"무연탄[2015=100]","2017 년","109.49",
"무연탄[2015=100]","2018 년","118.3",
"천연가스(LNG)[2015=100]","2005 년","89.93",
"천연가스(LNG)[2015=100]","2006 년","96.65",
"천연가스(LNG)[2015=100]","2007 년","95.34",
"천연가스(LNG)[2015=100]","2008 년","83.17",
"천연가스(LNG)[2015=100]","2009 년","107.72",
"천연가스(LNG)[2015=100]","2010 년","112.38",
"천연가스(LNG)[2015=100]","2011 년","126.78",
"천연가스(LNG)[2015=100]","2012 년","134.63",
"천연가스(LNG)[2015=100]","2013 년","130.46",
"천연가스(LNG)[2015=100]","2014 년","125.6",
"천연가스(LNG)[2015=100]","2015 년","100",
"천연가스(LNG)[2015=100]","2016 년","86.93",
"천연가스(LNG)[2015=100]","2017 년","94.46",
"천연가스(LNG)[2015=100]","2018 년","97.72",
"모래[2015=100]","1985 년","29.16",
"모래[2015=100]","1986 년","29.46",
"모래[2015=100]","1987 년","29.46",
"모래[2015=100]","1988 년","29.46",
"모래[2015=100]","1989 년","34.23",
"모래[2015=100]","1990 년","39.31",
"모래[2015=100]","1991 년","49.73",
"모래[2015=100]","1992 년","49.56",
"모래[2015=100]","1993 년","48.49",
"모래[2015=100]","1994 년","56.28",
"모래[2015=100]","1995 년","57.62",
"모래[2015=100]","1996 년","56.3",
"모래[2015=100]","1997 년","56.09",
"모래[2015=100]","1998 년","57.6",
"모래[2015=100]","1999 년","56.11",
"모래[2015=100]","2000 년","56.09",
"모래[2015=100]","2001 년","56.38",
"모래[2015=100]","2002 년","64.1",
"모래[2015=100]","2003 년","66.79",
"모래[2015=100]","2004 년","86.21",
"모래[2015=100]","2005 년","102.23",
"모래[2015=100]","2006 년","90.62",
"모래[2015=100]","2007 년","93.81",
"모래[2015=100]","2008 년","94.31",
"모래[2015=100]","2009 년","96.21",
"모래[2015=100]","2010 년","94.85",
"모래[2015=100]","2011 년","94.14",
"모래[2015=100]","2012 년","94.14",
"모래[2015=100]","2013 년","94.55",
"모래[2015=100]","2014 년","96.73",
"모래[2015=100]","2015 년","100",
"모래[2015=100]","2016 년","115.56",
"모래[2015=100]","2017 년","142.46",
"모래[2015=100]","2018 년","172.26",
"쇄석[2015=100]","1985 년","23.31",
"쇄석[2015=100]","1986 년","23.54",
"쇄석[2015=100]","1987 년","23.59",
"쇄석[2015=100]","1988 년","23.6",
"쇄석[2015=100]","1989 년","24.47",
"쇄석[2015=100]","1990 년","27.24",
"쇄석[2015=100]","1991 년","35.02",
"쇄석[2015=100]","1992 년","35",
"쇄석[2015=100]","1993 년","33.85",
"쇄석[2015=100]","1994 년","33.93",
"쇄석[2015=100]","1995 년","34.56",
"쇄석[2015=100]","1996 년","34.83",
"쇄석[2015=100]","1997 년","35.1",
"쇄석[2015=100]","1998 년","36.18",
"쇄석[2015=100]","1999 년","36.04",
"쇄석[2015=100]","2000 년","38.2",
"쇄석[2015=100]","2001 년","40.16",
"쇄석[2015=100]","2002 년","46.14",
"쇄석[2015=100]","2003 년","46.01",
"쇄석[2015=100]","2004 년","47.79",
"쇄석[2015=100]","2005 년","49.4",
"쇄석[2015=100]","2006 년","47.53",
"쇄석[2015=100]","2007 년","54.25",
"쇄석[2015=100]","2008 년","64.58",
"쇄석[2015=100]","2009 년","71.68",
"쇄석[2015=100]","2010 년","86.85",
"쇄석[2015=100]","2011 년","87.58",
"쇄석[2015=100]","2012 년","91.2",
"쇄석[2015=100]","2013 년","93.48",
"쇄석[2015=100]","2014 년","98.07",
"쇄석[2015=100]","2015 년","100",
"쇄석[2015=100]","2016 년","109.17",
"쇄석[2015=100]","2017 년","113.03",
"쇄석[2015=100]","2018 년","113.99",
"석회석[2015=100]","1985 년","54.22",
"석회석[2015=100]","1986 년","54.71",
"석회석[2015=100]","1987 년","54.71",
"석회석[2015=100]","1988 년","54.71",
"석회석[2015=100]","1989 년","57.63",
"석회석[2015=100]","1990 년","58.33",
"석회석[2015=100]","1991 년","64.63",
"석회석[2015=100]","1992 년","67.7",
"석회석[2015=100]","1993 년","69.3",
"석회석[2015=100]","1994 년","76.51",
"석회석[2015=100]","1995 년","76.91",
"석회석[2015=100]","1996 년","80.2",
"석회석[2015=100]","1997 년","80.5",
"석회석[2015=100]","1998 년","101.08",
"석회석[2015=100]","1999 년","96.96",
"석회석[2015=100]","2000 년","91.41",
"석회석[2015=100]","2001 년","86.94",
"석회석[2015=100]","2002 년","82.55",
"석회석[2015=100]","2003 년","81.73",
"석회석[2015=100]","2004 년","81.73",
"석회석[2015=100]","2005 년","81.73",
"석회석[2015=100]","2006 년","81.73",
"석회석[2015=100]","2007 년","81.73",
"석회석[2015=100]","2008 년","82.11",
"석회석[2015=100]","2009 년","86.55",
"석회석[2015=100]","2010 년","89.72",
"석회석[2015=100]","2011 년","92.81",
"석회석[2015=100]","2012 년","94.34",
"석회석[2015=100]","2013 년","99.53",
"석회석[2015=100]","2014 년","100",
"석회석[2015=100]","2015 년","100",
"석회석[2015=100]","2016 년","100",
"석회석[2015=100]","2017 년","100",
"석회석[2015=100]","2018 년","100.9",
"규석[2015=100]","1985 년","33.13",
"규석[2015=100]","1986 년","35.67",
"규석[2015=100]","1987 년","36.18",
"규석[2015=100]","1988 년","36.75",
"규석[2015=100]","1989 년","39.98",
"규석[2015=100]","1990 년","53.41",
"규석[2015=100]","1991 년","58.42",
"규석[2015=100]","1992 년","58.42",
"규석[2015=100]","1993 년","58.42",
"규석[2015=100]","1994 년","58.42",
"규석[2015=100]","1995 년","60.71",
"규석[2015=100]","1996 년","62.44",
"규석[2015=100]","1997 년","62.65",
"규석[2015=100]","1998 년","64.03",
"규석[2015=100]","1999 년","72.59",
"규석[2015=100]","2000 년","76.56",
"규석[2015=100]","2001 년","75.55",
"규석[2015=100]","2002 년","77.46",
"규석[2015=100]","2003 년","82.01",
"규석[2015=100]","2004 년","82.77",
"규석[2015=100]","2005 년","82.77",
"규석[2015=100]","2006 년","82.77",
"규석[2015=100]","2007 년","82.77",
"규석[2015=100]","2008 년","84.27",
"규석[2015=100]","2009 년","81.94",
"규석[2015=100]","2010 년","81.94",
"규석[2015=100]","2011 년","81.94",
"규석[2015=100]","2012 년","84.31",
"규석[2015=100]","2013 년","85.1",
"규석[2015=100]","2014 년","95.03",
"규석[2015=100]","2015 년","100",
"규석[2015=100]","2016 년","100",
"규석[2015=100]","2017 년","105.34",
"규석[2015=100]","2018 년","110.67",
"천일염[2015=100]","2014 년","108.58",
"천일염[2015=100]","2015 년","100",
"천일염[2015=100]","2016 년","73.98",
"천일염[2015=100]","2017 년","56.67",
"천일염[2015=100]","2018 년","49.15",
"햄및베이컨[2015=100]","1985 년","30.66",
"햄및베이컨[2015=100]","1986 년","33.34",
"햄및베이컨[2015=100]","1987 년","33.88",
"햄및베이컨[2015=100]","1988 년","33.88",
"햄및베이컨[2015=100]","1989 년","35.46",
"햄및베이컨[2015=100]","1990 년","38.32",
"햄및베이컨[2015=100]","1991 년","44.98",
"햄및베이컨[2015=100]","1992 년","46.56",
"햄및베이컨[2015=100]","1993 년","46.56",
"햄및베이컨[2015=100]","1994 년","46.56",
"햄및베이컨[2015=100]","1995 년","49.28",
"햄및베이컨[2015=100]","1996 년","50.76",
"햄및베이컨[2015=100]","1997 년","55.22",
"햄및베이컨[2015=100]","1998 년","62.89",
"햄및베이컨[2015=100]","1999 년","63.03",
"햄및베이컨[2015=100]","2000 년","63.07",
"햄및베이컨[2015=100]","2001 년","63.27",
"햄및베이컨[2015=100]","2002 년","66.57",
"햄및베이컨[2015=100]","2003 년","67.12",
"햄및베이컨[2015=100]","2004 년","67.71",
"햄및베이컨[2015=100]","2005 년","71.1",
"햄및베이컨[2015=100]","2006 년","70.73",
"햄및베이컨[2015=100]","2007 년","69.68",
"햄및베이컨[2015=100]","2008 년","73.9",
"햄및베이컨[2015=100]","2009 년","85.74",
"햄및베이컨[2015=100]","2010 년","88.42",
"햄및베이컨[2015=100]","2011 년","96.32",
"햄및베이컨[2015=100]","2012 년","96.81",
"햄및베이컨[2015=100]","2013 년","93.36",
"햄및베이컨[2015=100]","2014 년","98.35",
"햄및베이컨[2015=100]","2015 년","100",
"햄및베이컨[2015=100]","2016 년","96.77",
"햄및베이컨[2015=100]","2017 년","100.01",
"햄및베이컨[2015=100]","2018 년","98.79",
"소시지[2015=100]","1985 년","27.97",
"소시지[2015=100]","1986 년","31.38",
"소시지[2015=100]","1987 년","32.2",
"소시지[2015=100]","1988 년","32.2",
"소시지[2015=100]","1989 년","34.33",
"소시지[2015=100]","1990 년","37.08",
"소시지[2015=100]","1991 년","42.81",
"소시지[2015=100]","1992 년","44.69",
"소시지[2015=100]","1993 년","44.69",
"소시지[2015=100]","1994 년","44.69",
"소시지[2015=100]","1995 년","45.86",
"소시지[2015=100]","1996 년","46.61",
"소시지[2015=100]","1997 년","50.23",
"소시지[2015=100]","1998 년","60.5",
"소시지[2015=100]","1999 년","60.76",
"소시지[2015=100]","2000 년","60.76",
"소시지[2015=100]","2001 년","61.65",
"소시지[2015=100]","2002 년","62.23",
"소시지[2015=100]","2003 년","62.63",
"소시지[2015=100]","2004 년","64.72",
"소시지[2015=100]","2005 년","73.39",
"소시지[2015=100]","2006 년","72.38",
"소시지[2015=100]","2007 년","71.6",
"소시지[2015=100]","2008 년","74.52",
"소시지[2015=100]","2009 년","85.18",
"소시지[2015=100]","2010 년","86.27",
"소시지[2015=100]","2011 년","91.65",
"소시지[2015=100]","2012 년","92.61",
"소시지[2015=100]","2013 년","93.8",
"소시지[2015=100]","2014 년","98.31",
"소시지[2015=100]","2015 년","100",
"소시지[2015=100]","2016 년","97.69",
"소시지[2015=100]","2017 년","99.29",
"소시지[2015=100]","2018 년","98.24",
"가금류포장육[2015=100]","2012 년","99.64",
"가금류포장육[2015=100]","2013 년","99.57",
"가금류포장육[2015=100]","2014 년","111.78",
"가금류포장육[2015=100]","2015 년","100",
"가금류포장육[2015=100]","2016 년","92.86",
"가금류포장육[2015=100]","2017 년","108.13",
"가금류포장육[2015=100]","2018 년","100.42",
"육지동물포장육[2015=100]","2005 년","81.27",
"육지동물포장육[2015=100]","2006 년","81.02",
"육지동물포장육[2015=100]","2007 년","80.4",
"육지동물포장육[2015=100]","2008 년","82.09",
"육지동물포장육[2015=100]","2009 년","109.22",
"육지동물포장육[2015=100]","2010 년","151.93",
"육지동물포장육[2015=100]","2011 년","120.1",
"육지동물포장육[2015=100]","2012 년","90.48",
"육지동물포장육[2015=100]","2013 년","75.75",
"육지동물포장육[2015=100]","2014 년","97.8",
"육지동물포장육[2015=100]","2015 년","100",
"육지동물포장육[2015=100]","2016 년","103.82",
"육지동물포장육[2015=100]","2017 년","104.23",
"육지동물포장육[2015=100]","2018 년","106.35",
"우유[2015=100]","1985 년","31.29",
"우유[2015=100]","1986 년","31.67",
"우유[2015=100]","1987 년","31.67",
"우유[2015=100]","1988 년","31.67",
"우유[2015=100]","1989 년","34.03",
"우유[2015=100]","1990 년","34.73",
"우유[2015=100]","1991 년","36.28",
"우유[2015=100]","1992 년","37.96",
"우유[2015=100]","1993 년","41.57",
"우유[2015=100]","1994 년","41.94",
"우유[2015=100]","1995 년","41.94",
"우유[2015=100]","1996 년","45.24",
"우유[2015=100]","1997 년","45.9",
"우유[2015=100]","1998 년","54.27",
