년도,환율,오렌지가격_1kg,오렌지가공매출_백만원,감귤가격_1kg,감귤가공매출_백만원
1998,1401.437,2310,,1326,
1999,1188.817,3202,,1512,
2000,1130.958,1538,,936,
2001,1290.995,1898,,1194,
2002,1251.088,2390,,1099,
2003,1191.614,1904,,900,
2004,1145.319,2006,,1337,
2005,1024.117,1814,,1795,
2006,954.791,1998,,1426,
2007,929.257,2445,,1582,
2008,1102.047,2066,,1240,
2009,1276.93,2841,,1271,
2010,1156.061,2745,,1404,
2011,1108.292,2538,242800,1483,98620
2012,1126.471,2551,186598,2681,112594
2013,1094.853,2456,206513,1692,83680
2014,1052.961,2526,186124,1824,69225
2015,1131.158,2684,175906,1692,64853
2016,1160.433,2616,174056,1926,60190
2017,1130.425,2638,155606,2378,58439
2018,1100.5,2745,138899,1977,58363
2019,1157.3,2677,129605,1438,61612
