dropoutX_batch16,dropout_batch16,dropout_X_batch32,dropout_batch32,dropoutX_batch64,dropout_batch64
0.326070873,0.324207796,0.340129619,0.339870278,0.363452125,0.366622493
0.287781567,0.291888606,0.303774218,0.303464699,0.305844906,0.308003708
0.267567055,0.27760928,0.290682639,0.291231402,0.302640974,0.302280716
0.254679562,0.269501663,0.27539195,0.279614254,0.296084823,0.298035793
0.244229691,0.262585131,0.264363884,0.273173648,0.2881278,0.290088337
0.233738889,0.255671894,0.256599849,0.265866443,0.278450924,0.282975488
0.223815034,0.248596579,0.248779492,0.260741945,0.272701717,0.277549372
0.214407682,0.243497234,0.241654276,0.255336037,0.266162787,0.273113271
0.205528332,0.236315984,0.23441452,0.256326506,0.261237375,0.270222202
0.197333043,0.231453507,0.227403193,0.245471828,0.255977249,0.26537664
0.189355606,0.225982473,0.220551763,0.241461575,0.252055707,0.262278535
0.181460632,0.221816116,0.214417993,0.236743046,0.248579841,0.258821803
0.17411691,0.216437176,0.207708731,0.231074963,0.243999748,0.25540399
0.167074501,0.21173022,0.201598,0.226281039,0.240386372,0.251917083
0.160412842,0.207960197,0.19540166,0.224319038,0.23618707,0.249848659
0.153222517,0.203513811,0.190073145,0.218526137,0.233921226,0.246690746
0.146707361,0.199151275,0.183109935,0.214617111,0.229283717,0.244123187
0.140094077,0.194822539,0.177630005,0.210456544,0.224441984,0.240682622
0.133419515,0.190910021,0.172059699,0.206186708,0.220998665,0.23847991
0.127479359,0.187104994,0.166070797,0.202463338,0.216987829,0.235423627
0.121144907,0.183778405,0.161369671,0.199591112,0.212766333,0.232452153
0.114552642,0.178834862,0.179207186,0.195189053,0.209973272,0.229234569
0.109043167,0.17457468,0.260570142,0.191497942,0.206023293,0.226261596
0.102783475,0.171551817,0.283903019,0.188611294,0.201344522,0.222264794
0.097140288,0.16772059,0.247324298,0.185775497,0.197799317,0.219987899
0.090922603,0.165808577,0.205345775,0.18138329,0.195718527,0.216207729
0.085393254,0.160861595,0.16309948,0.179526539,0.192103692,0.214888515
0.080840605,0.156400802,0.151541995,0.17725675,0.189093457,0.210874859
0.075122177,0.154800691,0.144154637,0.172876265,0.183919342,0.207538124
0.069549926,0.151844442,0.137882264,0.170173268,0.180777337,0.206112045
0.064973341,0.148100168,0.132261147,0.16690131,0.17628239,0.203260042
0.060229498,0.145756484,0.126333689,0.162335159,0.172975963,0.199359438
0.055872952,0.142872259,0.121984277,0.160825177,0.168787687,0.196705944
0.051731093,0.138900693,0.116665207,0.157907888,0.165986026,0.194818695
0.047782349,0.136219478,0.111768377,0.153403498,0.161624892,0.192643259
0.043723204,0.132545148,0.106433295,0.151876199,0.158181968,0.19051868
0.039983662,0.129396062,0.102178903,0.150019638,0.154825584,0.187982373
0.038423587,0.127427856,0.096698104,0.145498704,0.151056457,0.186013468
0.033410583,0.123923491,0.092660262,0.143236387,0.14838478,0.182497832
0.030894181,0.122365408,0.087816261,0.141031497,0.143564994,0.180684786
0.027671848,0.117614021,0.083452802,0.1385668,0.140729065,0.177394275
0.025647115,0.116247394,0.079071212,0.13380845,0.136959414,0.174281675
0.023126948,0.113413644,0.075631157,0.132690239,0.133827679,0.172568105
