넘치도록	버래기
강아지	강생이
부글부글하다	부각허다
가랭이	강알
부풀어 오르다	부끄다
거품	개끔
정황도 모르고	분시몰랑
밥을 추하게 먹는 모습	개작개작
뺨	삐암데기
잡초	검질
말하지말라	속슴허라
희미하다	게미융허다
숨막히는	솜쫄르멍
입이 큰	게작헌
유산식품	쉰달이
고자질한다	고라불켜
마음 씀씀이	심토맥이
숨막히다	곡기다
이렇게	영
잘게부수다	골다
캄캄하다	왁왁허다
숨기다	곱지다
똑똑하다	요망지다
햇살이 눈부시게 비추는모습	과랑과랑
텃밭	우영밭
친족	괸당
산간마을	웃뜨리
밑바닥	굽
걷는 모습	재짝재짝
그을리다	기시리다
제대로 된	제라헌
뼈	꽝
다물다	조그물다
반찬	촐래
보리피리	주레사니
침	니치름
어이없다	촘아가라
던져버린다	데껴불켜
원통하다	칭원허다
얼떨떨하다	두렁청허다
마늘	콥데사니
날뛰다	들러켬쩌
향기	코시롱
하다	허다
푸짐하다	듬삭하다
딸기	탈
찌그러지다	멜라지켜
돼지우리가 있는 변소	통시
아무것도 없음	메기독딱
틈새	트멍
무서워	모소완
이곳저곳	하근디
홀랑벗은모습	몬뜨글락
많다	하다
만지다가	몬직당
전부	몬짝
하다가 안 할 것이냐	허당말타
멍청하다	몰명허다
빨리가자	헌저글라
늦장부리다	몽케다
조금	호썰
맛이가다	무리다
등	호야
왜?	무사
늘어지다	흐랑허다
어둠속에 빛이 희미하다	배롱허다
얼굴	허운데기
고소하다	배지금허다
모습	쪼광
잠수복	물옷
거칠고 노한 바다	센 바당
가까운 바다	앞바르
먼 바다	난바르
한라산의 중턱에 띠같은 구름이 끼면 비가 온다	산목 졸르면 비온다
달무리지면 비가 온다	돌 갓쓰민 우친다
돌고래가 날뛴다	곰새기 들럭 켬져
황사현상	토끼썼다
물안경	큰눈
작살	소살
해산물을 많이 잡았다	머정좋다
해산물을 많이 잡았다	제수가 좋다
겨우 한두개 잡았다	궐 면했다
바다가 잔잔하다	마당 바랏져
산더미 같은 파도	큰누
작은 파도	작은누
물결이 친다	절 치대긴다
 할아버지	하르방 
 할머니	할망 
아버지	아방 
 어머니	어멍 
 처녀	비바리 
 친척	괸당 
 거지	걸바시 
 색시	넹바리 
 의붓아들	다슴아돌 
 세번째자식	말젯놈 
 사나이	소나이 
 형님	성님 
 어른이된 사람	작산 거 
 해녀	좀녀 
 경솔한사람	촐람생이 
 홀아비 	홀아방 
 다리	가달 
 꼬리	꼴랑지 
 귀쪽뺨	구뚱배기 
 뼈	꽝 
 입	굴레 
 머리	대망생이 
 등어리	등땡이 
 똥구멍	또꼬망 
 멱살	모감지 
 배 불뚝이	베 봉탱이 
 배 밟아버린다	베아지 볼라불라
 얼굴	상판이 
 목	야게기 
 턱	야굴탁 
 이마	임댕이 
 종아리	정겡이 
 겨드랑이	저껭이 
간지롭게	조금태기 
 종아리	좀짐팽이 
머리카락	허운데기 
 넓적다리	허벅다리 
 얼굴	놋 
 통조림	간수메 
 미숫가루	개역 
 동물먹이	것 
 고기	괴기 
 바닷고기	바당괴기 
 돼지고기	돗괴기 
 쇠고기	쇠괴기 
 돼지고기	도괴기 
 쌀로만든하얀떡	곤떡 
 흰쌀밥	곤밥 
 무우	놈삐 
 마늘장아찌	대사니김치 
 마늘	마농 
 메밀수제비	조배기 
 반찬	촐래 
 참기름	촘지금 
 김치	짐치 
 찹쌀	촙쏠 
 조밥	조팝 
 감물들인옷	갈옷 
 감물들인 고의	갈 중이 
 개구멍 바지	강알터진 바지 
 호주머니	게와 
 단추	단취 
 밀짚 모자	밀랑 페랭이 
 버선	보선 
 속옷	소중이 
 신짝	신착 
 짚신	찍신 
 잠방이	좀뱅이 
 감물들인베옷	등지게 
 고쟁이	고장중이 
 우두머니	도폭 
 두루마기	두루막 
 아기옷	베불레기 
 비온날	우장 
 저고리 	저구리 
 기저귀	지성귀 
 기저귀	지서귀 
 조끼	쪼께 
 치마	치메 
 건대	건대 
 사모관대	사모관대 
 손자용상복	시미옷 
 상제옷	제복 
 망건	망근 
 상갓닮은거	방립 
 벙거지	벙것 
 삿갓	상갓 
 탕건	탕근 
 남자모자	풍뎅이 
 여자모자	휘양 
 빈네꽂은머리	낭저 
 땋은놈의머리	달리 
 비녀	빈네 
 상투	상퉁이 
 머리빗	얼레기 
 머리빗	얼레빗 
 족두리	쪽도리 
 참빗	쳉빗 
 무당입는옷	과지 
 나막신	남신 
 무당들 쓰는 모자	송락 
 방울	요령 
 상복치마	복치메 
 바구니	구덕 
 대로만든채롱	고량착 
 양푼	낭푼이 
 물긷는그릇	그릇대배기 
 마차	물구루마 
 바늘	바농 
 바가지	박새기 
 수저	숟구락 
 젓갈	제끄락 
 주머니	주멩기 
 물을길어나르는통	허벅 
 큰밥주걱	남죽 
 국사발	대접 
 함지박	도고리 
 도시락통	소리바굼지 
 바가지	솔박 
 밥사발	수박귀 
 작은밥자	우금 
 작은바가지	작박 
 설거지통	장탱이 
 항아리	항 
 나무로만든도고리	함박 
 삽	가레죽 
 곡괭이	곡괭이 
 호미	골갱이 
 호미	골각지 
 고무래	군데 
 날레 젓는 거	날레군데
 맷돌	가레 
 상태기	갈체 
 돌 발르는 끌	돌끌 
 도리깨	다께 
 멱서리	멕 
 연자마	말방에 
 씨앗그릇	부게 
 쉐거름낼때	쉐스렁 
 씨앗	씻부게 
 쟁기	잠데 
 낫	호미 
 굴뚝새	고냥 독생이 
 날개	놀개기 
 동박새	박생이 
 닭	독 
 닭	독새기 
 고양이	고냉이 
 송아지	송애기 
 망아지	몽생이 
 돼지	돗 
 돼지	도새기 
 밭을 가는 소	밭갈쇠 
 숫소	부랭이 
 염소	염송애기 
 강아지	강생이 
 쥐	중이 
 도미	갓돔 
 게	겡이 
 소라	구젱기 
 문어	물꾸럭 
 개미	게염지 
 맹꽁이	멩마구리 
 버러지	베랭이 
 뱀	베염 
 병아리	빙애기 
 새	생이 
 다람쥐	나람쥐 
 쥐	죙이 
 여우	여호 
 노루	노리 
 병아리	빙아리 
 외양간	쉐막 
 두꺼비	두테비 
 개구리	골개비 
 올챙이	젱비리 
 채소	송키 
 감자	지실 
 고구마	감저 
 억새	어욱 
 잔디	태역 
 메밀	모물 
 느티나무	굴묵낭 
 강아지풀	가라지 
 달래	꿩마농 
 산수국	도채비고장 
 삼나무	숙대낭 
 팽나무	퐁낭 
 가뿐하다	가베또롱호다 
 시원하다	간드랑호다 
 게으르다	간세호다 
 분수가없다	거령청호다 
 곧다	곧작호다 
 쨍쨍하다	과랑과랑호다 
 조마조마하다	금착호다 
 가렵다	고렵다 
 달콤하다	돌코롬호다 
 통쾌하다	메뜩호다 
 따뜻하다	멘도롱호다 
 한곳에모여있다	모드락호다 
 포동포동하다	몰치락호다 
 젊게보이다	벤조롱호다 
 부끄럽다	부치럽다 
 동그랗다	돌글랑호다 
 퉁퉁하다	봉끄랑호다 
 부지런하다	보랑지다 
 시치미를뗀모양하다	펀드렁호다 
 희끔하다	해또록호다 
 시원하다	산도록호다 
 지긋지긋하다	썸찌근호다 
 차겁다	실렵다 
 관심이없다	심드랑호다 
 아무런가치없다	슴두렁펀펀호다 
 살찌다	솔치다 
 사납게소리치다	앙살호다 
 더럽다	앨록호다 
 흐리멍텅하다	어중구랑호다 
 당황하다	얼랍지다 
 궁금하다	얼랍지다 
 엄청나다	엄부랑호다 
 작아서위로치켜뜬모양하다	오들랑호다 
 오목하다	옴탕호다 
 캄캄하다	왁왁호다 
 떠들썩하다	왕왕작작호다 
 똑똑하다	요망지다 
 불쑥나타나있다	조짝호다 
 가늘다	좀질다 
 잠잠하다	좀좀호다 
 까다롭다	패랍다 
 그저께	그저끼 
 아침	아척 
 그저께저녁	그지게초냑 
 엊저녁	언처냑 
 내일모레	요뉠모리 
 요사이	소시 
 흉년	숭년 
 겨울 된	저슬들언 
 고르게되다	갈라지다 
 자빠지다	데싸지다 
 맴돌다	감장돌다 
 꺼떡거리다	거들락거리다 
 건드리다	거찌다 
 거꾸러지다	걸러지다 
 호다박자	고른배기 
 비켜서다	고쩌사다 
 재주넘다	곤작싸다 
 얼굴을찡그리다	꼴성그리다 
 숨기다	곱지다 
 불평을말하다	구숭호다 
 거꾸로박히다	꾸러박아지다 
 은밀히알려주다	귀태우다 
 숨막히다	고끼다 
 차례로바꾸다	골메드리다 
 늑장부리다	늘짝거리다 
 미끄러지다	끼리다 
 재촉하다	다울리다 
 다니다	댕기다 
 던져버리다	데껴불다 
 갈라지다	되싸지다 
 날 뛰다	들럭퀴다 
 느리다	몽캐다 
 꾸물거리다	몽캐다 
 까발리다	베르싸다 
부수어버리다	부수닥질호다 
 화나다	부에나다 
 고함지르다	쎄울르다 
 소근거리다	소곤닥호다 
 소문내다	소도리호다 
 잠잠하다	속솜호다 
 겨루다	심벡호다 
 욕설하다	악살호다 
 성내다	용심내다 
 간지럽히다	조글리다 
 걱정하다	저들다 
 다섯	다솟 
 예닐곱	예늘곱 
 여든	요든 
 일곱 	일고  
여덟	여답 
 여나믄	요나문 
 여섯	요섯 
 하나	호나 
 해녀	혼잠녀 
 물질잘하는사람	상군 
 어린처녀욕	요년난거 
 밤따귀	볼망텡이 
 은하수	미리내 
