"4,5월",평균기온,강수량mm, 합계전천일사량(MJ/㎡),평균상대습도(%),평균풍속(m/s),PHU
 1993-05,15.15,158.3,489.345,78.5,6.8,19.18
 1994-05,16.1,224.4,473.19,83.5,6.3,21.9
 1995-05,15.1,256.3,533.63,76,6.35,18.32
 1996-05,14.55,152.7,532.375,73,6,18.44
 1997-05,15.7,200.85,508.275,74,6.9,21.38
 1998-05,16.7,193.85,456.845,88,5.3,23.4
 1999-05,15.75,189.8,586.58,80.5,7.15,21.16
 2000-05,15.35,111.35,622.505,75,6.5,19.9
 2001-05,15.8,182.75,597.355,75,5.45,21.8
 2002-05,16.2,189.5,488.165,79,6.35,22.064
 2003-05,16.05,308.5,504.225,79.5,6.55,22.604
 2004-05,15.85,339.15,521.545,77.5,7.25,21.434
 2005-05,15.95,136.6,637.32,73,6.1,21.326
 2006-05,15.5,268.15,512.64,78,7.15,19.94
 2007-05,15.65,117.95,595.825,72,6.25,21.56
 2008-05,15.9,160.55,591.21,71,5.65,21.074
 2009-05,15.6,143.3,658.4,69,6.2,21.524
 2010-05,14.6,217.35,577.125,70.5,6.3,18.595
 2011-05,15.25,136.9,630.77,77,6.1,20.35
 2012-05,16,330.25,639.28,78,5.5,22.42
 2013-05,15.3,146.65,665.7,76.5,6.25,20.57
 2014-05,16,237.1,608.945,76.5,5.55,22.24
 2015-05,15.8,358.6,559.005,81,5.5,21.7
 2016-05,16.25,255.5,537.495,83,5.45,22.68
 2017-05,16.25,144.45,613.935,80,5.35,22.96
 2018-05,16.4,334.05,546.625,85,4.95,23
