"시도별","종류별","항목","단위","1993 년","1994 년","1995 년","1996 년","1997 년","1998 년","1999 년","2000 년","2001 년","2002 년","2003 년","2004 년","2005 년","2006 년","2007 년","2008 년","2009 년","2010 년","2011 년","2012 년","2013 년","2014 년","2015 년","2016 년","2017 년","2018 년","2019 년",
"계","합계","감귤","","22247","22233","23622","24729","24730","24667","24959","25198","24919","24330","22473","19792","19145","18662","18622","18216","18353","18041","18034","17771","17533","17007","16692","17624","17273.0674","16809.8081","16253.1222",
"계","합계","감귤(성과수)","","17808","17944","19460","21838","22366","22808","23311","23705","23565","23314","21635","19214","18642","18289","18223","17889","17901","17573","17378","17146","16993","16439","16112","17049","16630.6223","16029.7769","15386.082",
"계","논","감귤","","0","14","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","-","0","0","0","0",
"계","논","감귤(성과수)","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","-","0","0","0","0",
"계","밭","감귤","","22247","22219","23622","24729","24730","24667","24959","25198","24919","24330","22473","19792","19145","18662","18622","18216","18353","18041","18034","17771","17533","17007","16692","17624","17273.0674","16809.8081","16253.1222",
"계","밭","감귤(성과수)","","17808","17944","19460","21838","22366","22808","23311","23705","23565","23314","21635","19214","18642","18289","18223","17889","17901","17573","17378","17146","16993","16439","16112","17049","16630.6223","16029.7769","15386.082",
"서울특별시","합계","감귤","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","-","0","0","0","0",
"서울특별시","합계","감귤(성과수)","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","-","0","0","0","0",
"서울특별시","논","감귤","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","-","0","0","0","0",
"서울특별시","논","감귤(성과수)","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","-","0","0","0","0",
"서울특별시","밭","감귤","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","-","0","0","0","0",
"서울특별시","밭","감귤(성과수)","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","-","0","0","0","0",
"부산광역시","합계","감귤","","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","-","0","0","0","0",
"부산광역시","합계","감귤(성과수)","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","-","0","0","0","0",
"부산광역시","논","감귤","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","-","0","0","0","0",
"부산광역시","논","감귤(성과수)","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","-","0","0","0","0",
"부산광역시","밭","감귤","","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","-","0","0","0","0",
"부산광역시","밭","감귤(성과수)","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","-","0","0","0","0",
"대구광역시","합계","감귤","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","-","0","0","0","0",
"대구광역시","합계","감귤(성과수)","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","-","0","0","0","0",
"대구광역시","논","감귤","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","-","0","0","0","0",
"대구광역시","논","감귤(성과수)","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","-","0","0","0","0",
"대구광역시","밭","감귤","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","-","0","0","0","0",
"대구광역시","밭","감귤(성과수)","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","-","0","0","0","0",
"인천광역시","합계","감귤","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","-","0","0","0","0",
"인천광역시","합계","감귤(성과수)","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","-","0","0","0","0",
"인천광역시","논","감귤","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","-","0","0","0","0",
"인천광역시","논","감귤(성과수)","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","-","0","0","0","0",
"인천광역시","밭","감귤","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","-","0","0","0","0",
"인천광역시","밭","감귤(성과수)","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","-","0","0","0","0",
"광주광역시","합계","감귤","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","-","0","6.4291","0","0",
"광주광역시","합계","감귤(성과수)","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","-","0","6.4291","0","0",
"광주광역시","논","감귤","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","-","0","0","0","0",
"광주광역시","논","감귤(성과수)","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","-","0","0","0","0",
"광주광역시","밭","감귤","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","-","0","6.4291","0","0",
"광주광역시","밭","감귤(성과수)","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","-","0","6.4291","0","0",
"대전광역시","합계","감귤","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","-","0","0","0","0",
"대전광역시","합계","감귤(성과수)","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","-","0","0","0","0",
"대전광역시","논","감귤","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","-","0","0","0","0",
"대전광역시","논","감귤(성과수)","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","-","0","0","0","0",
"대전광역시","밭","감귤","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","-","0","0","0","0",
"대전광역시","밭","감귤(성과수)","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","-","0","0","0","0",
"울산광역시","합계","감귤","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","-","0","0","0","0",
"울산광역시","합계","감귤(성과수)","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","-","0","0","0","0",
"울산광역시","논","감귤","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","-","0","0","0","0",
"울산광역시","논","감귤(성과수)","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","-","0","0","0","0",
"울산광역시","밭","감귤","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","-","0","0","0","0",
"울산광역시","밭","감귤(성과수)","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","-","0","0","0","0",
"세종특별자치시","합계","감귤","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0",
"세종특별자치시","합계","감귤(성과수)","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0",
"세종특별자치시","논","감귤","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0",
"세종특별자치시","논","감귤(성과수)","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0",
"세종특별자치시","밭","감귤","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0",
"세종특별자치시","밭","감귤(성과수)","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0",
"경기도","합계","감귤","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","","-","0","0","0","0",
"경기도","합계","감귤(성과수)","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","-","0","0","0","0",
