일시,평균기온,최고기온 평균,최저기온 평균,강수량mm,합계전천일사량(MJ/㎡),평균상대습도(%)
 1980-01,6,9.1,3,143.3,332.06,76
 1980-02,4.4,7.7,1.2,61.4,574.67,72
 1980-03,8.9,12.3,5.2,154.3,668.5,73
 1980-04,13.3,17,9,179.9,983.01,75
 1980-05,17.2,21.2,12.9,310.1,1243.48,79
 1980-06,21.3,24.7,18.5,185,921.71,89
 1980-07,24.1,26.9,21.7,330.5,790.06,92
 1980-08,23.7,26.2,21.4,515.5,701.75,88
 1980-09,21.3,24.8,17.8,60.5,938.15,78
 1980-10,17.5,20.8,13.9,162.6,672.65,77
 1980-11,13.2,17.6,8.9,192.9,585.4,74
 1980-12,5.9,9.4,2.5,85.5,360.34,68
 1981-01,3.8,7,0.6,40.4,344.31,67
 1981-02,5.6,8.7,2.1,86.1,458.09,68
 1981-03,9.8,13.7,5.7,117.8,752.93,68
 1981-04,13.4,17,9.2,150.6,888.62,73
 1981-05,17.3,21.6,12.8,124.5,1103.91,71
 1981-06,21.2,24.4,18,349.6,835.61,83
 1981-07,27.2,30.2,24.5,117.7,1251.67,87
 1981-08,26.6,29.9,23.6,510.8,1054.43,83
 1981-09,22.2,25.7,18.8,464.5,873.87,78
 1981-10,17.2,20.9,13.2,169.2,689.99,74
 1981-11,10.7,14.2,6.9,86.2,485.49,71
 1981-12,7.2,11.1,3.2,20.8,465.27,69
 1982-01,4.9,8.5,1.1,75.9,183.81,70
 1982-02,6.3,9.8,2.7,94.9,275.83,68
 1982-03,10.1,13.7,5.8,149.7,435.11,71
 1982-04,13.2,17,8.9,173,462.27,76
 1982-05,18.8,22.6,14.9,140.2,641.29,82
 1982-06,21.3,24.9,17.5,70.4,633.8,82
 1982-07,24,27.1,21.3,387.4,508.07,91
 1982-08,26.3,29.4,23.4,250.6,572.33,86
 1982-09,21.9,25.2,18.5,102.9,420.52,79
 1982-10,18.8,22.8,15,67.5,394.29,78
 1982-11,14,17.3,10.7,177.8,201.74,79
 1982-12,7.8,12,3.9,43.5,173.11,70
 1983-01,5.9,9.5,2.5,72.7,176.57,72
 1983-02,5.5,9.5,1.5,81.8,249.71,72
 1983-03,9.9,13.2,6.6,137.8,336.82,74
 1983-04,14.8,18.6,10.4,184.2,477.93,79
 1983-05,17.8,21.8,13.7,171,596.84,81
 1983-06,20.5,24,17.3,139.5,524.78,85
 1983-07,24.8,27.7,22.2,235.4,538.1,87
 1983-08,26.9,30.2,24.1,161.3,486.04,83
 1983-09,23.9,27.2,21.1,742.4,364.45,87
 1983-10,18.6,22.3,15.2,77.5,320.24,76
 1983-11,12,16,8.3,92.9,255.15,72
 1983-12,6.7,10.4,3.2,35.8,206.1,68
 1984-01,3.2,6.5,0.5,39.5,191.27,68
 1984-02,3.7,7,0.5,38.2,233.55,70
 1984-03,7.3,11.2,3.4,47.5,437.96,65
 1984-04,13.3,16.9,9.7,141,490.99,79
 1984-05,17.1,20.9,12.9,70.7,611.52,79
 1984-06,21.6,24.8,18.6,254.7,498.25,87
 1984-07,26.2,29.5,23.5,158.5,611.03,86
 1984-08,27.1,30.2,24.2,219.1,548.76,87
 1984-09,22.6,26.3,18.9,199.1,443.79,82
 1984-10,17.6,21.6,13.6,28.4,414.55,69
 1984-11,13.6,17.7,9.6,90.7,257.49,71
 1984-12,7.6,10.9,4.5,87.8,140.61,72
 1985-01,4,7.8,0.8,31.5,184.58,65
 1985-02,6.7,9.8,3.6,164.1,164.6,70
 1985-03,8.9,12.4,5.6,222.4,345.08,71
 1985-04,13.6,17.7,9.1,213.8,471.01,75
 1985-05,18.3,21.6,14.8,281.5,518.32,82
 1985-06,21.2,24.1,18.4,896.2,481.78,86
 1985-07,26.4,29.4,23.5,551.8,626.32,85
 1985-08,27.1,30.2,24.4,392.4,557.11,86
 1985-09,24.4,27.7,21.1,193.9,458.6,81
 1985-10,18.5,22,15,421.4,325.46,76
 1985-11,11.9,15.8,8,85.5,224.56,71
 1985-12,6.2,9.7,2.8,53.7,136.68,75
 1986-01,4.4,7.8,1.1,50.4,187.88,72
 1986-02,4,7.6,0.7,39.6,204.56,70
 1986-03,8.9,13,5,115.5,395.48,73
 1986-04,13.7,17.4,9.6,211.5,511.12,72
 1986-05,17.6,21.6,13.3,111.7,614.7,79
 1986-06,21.4,25,18.1,401.3,550.16,85
 1986-07,23.9,26.8,21.5,490,455.71,87
 1986-08,26.4,30,22.9,477.6,572.22,76
 1986-09,21.4,24.8,18.1,273.7,415.34,83
 1986-10,16.6,20.7,12.5,67.6,402.59,77
 1986-11,12.1,15.9,8.4,32.3,242.01,73
 1986-12,9.3,13.1,5.1,100.2,162.27,74
 1987-01,6.2,10.2,2.3,70.2,185.97,71
 1987-02,7,11.1,3.2,64.7,260.91,72
 1987-03,8.9,12.6,5.2,151.7,326.99,77
 1987-04,13.3,17.5,8.8,163.8,495.12,77
