행 레이블,합계 : 강수량(mm),,,,
 1980-06,185,,,,
 1981-06,349.6,,,,
 1982-06,70.4,,,,
 1983-06,139.5,,,,
 1984-06,254.7,,,,
 1985-06,896.2,,,,
 1986-06,401.3,,,,
 1987-06,281.5,,,,
 1988-06,315.7,,,,
 1989-06,283.6,,,,
 1990-06,356.1,,,,
 1991-06,346,,,,
 1992-06,136.1,,,,
 1993-06,287.2,,,,
 1994-06,342.3,,,,
 1995-06,204.5,,,,
 1996-06,401.9,,,,
 1997-06,218.5,,,,
 1998-06,327.5,,,,
 1999-06,295.8,,,,
 2000-06,167.1,,,,
 2001-06,272,,,,
 2002-06,118.6,,,,
 2003-06,377,,,,
 2004-06,180.4,,,,
 2005-06,96.3,,,,
 2006-06,486,,,,
 2007-06,144.4,,,,
 2008-06,377.3,,,,
 2009-06,393,,,,
 2010-06,387,,,,
 2011-06,584.5,,,,
 2012-06,208.8,,,,
 2013-06,205.1,,,,
 2014-06,300.9,,,,
 2015-06,271.5,,,,
 2016-06,281.2,,,,
 2017-06,247.4,,,,
 2018-06,377.2,,,,
총합계,11569.1,,,,
