분류: 지상,,
요소 : 강수량,,
검색구분 : 월,,
지역/지점명 : 고산,,
기간 : 1980 ~ 2018년 01 ~ 12월,,
,,
,,
,,
,,
지점명,일시,강수량(mm)
고산,Jan-88,14.6
고산,Feb-88,18.6
고산,Mar-88,95.4
고산,Apr-88,80.5
고산,May-88,86.4
고산,Jun-88,101.5
고산,Jul-88,67.1
고산,Aug-88,207.4
고산,Sep-88,36.9
고산,Oct-88,4
고산,Nov-88,8.6
고산,Dec-88,14.5
고산,Jan-89,88.8
고산,Feb-89,91.9
고산,Mar-89,43.6
고산,Apr-89,29.5
고산,May-89,67.5
고산,Jun-89,104.6
고산,Jul-89,168.1
고산,Aug-89,108.1
고산,Sep-89,273.2
고산,Oct-89,20.2
고산,Nov-89,75.9
고산,Dec-89,10.1
고산,Jan-90,51.2
고산,Feb-90,113.7
고산,Mar-90,55.2
고산,Apr-90,102.8
고산,May-90,97.8
고산,Jun-90,205.8
고산,Jul-90,98.4
고산,Aug-90,118.9
고산,Sep-90,170.9
고산,Oct-90,40.7
고산,Nov-90,90.9
고산,Dec-90,16
고산,Jan-91,33.6
고산,Feb-91,47.3
고산,Mar-91,116.8
고산,Apr-91,33.3
고산,May-91,368.2
고산,Jun-91,269.9
고산,Jul-91,334.9
고산,Aug-91,38.6
고산,Sep-91,194.3
고산,Oct-91,9.2
고산,Nov-91,31.4
고산,Dec-91,26.5
고산,Jan-92,52.8
고산,Feb-92,15.9
고산,Mar-92,134.4
고산,Apr-92,115.4
고산,May-92,96.5
고산,Jun-92,76.1
고산,Jul-92,61.8
고산,Aug-92,326.6
고산,Sep-92,133.6
고산,Oct-92,4
고산,Nov-92,56.6
고산,Dec-92,33.9
고산,Jan-93,32.8
고산,Feb-93,66.6
고산,Mar-93,90.7
고산,Apr-93,23.6
고산,May-93,132.3
고산,Jun-93,160.7
고산,Jul-93,86.9
고산,Aug-93,354.8
고산,Sep-93,40.8
고산,Oct-93,27
고산,Nov-93,94.2
고산,Dec-93,41
고산,Jan-94,37.5
고산,Feb-94,20.1
고산,Mar-94,53.2
고산,Apr-94,152.6
고산,May-94,85.1
고산,Jun-94,123.2
고산,Jul-94,20.2
고산,Aug-94,208.2
고산,Sep-94,50.2
고산,Oct-94,48.7
고산,Nov-94,11.8
고산,Dec-94,23.5
고산,Jan-95,36.3
고산,Feb-95,61.2
고산,Mar-95,40.8
고산,Apr-95,82.7
고산,May-95,136.2
고산,Jun-95,79.7
고산,Jul-95,341.4
고산,Aug-95,86
고산,Sep-95,49.3
고산,Oct-95,60
고산,Nov-95,20.6
고산,Dec-95,8.8
고산,Jan-96,26.1
고산,Feb-96,16.4
고산,Mar-96,91.6
고산,Apr-96,48.2
고산,May-96,63.3
고산,Jun-96,216.9
고산,Jul-96,56.5
고산,Aug-96,175.5
고산,Sep-96,14.6
고산,Oct-96,36.3
고산,Nov-96,44.5
고산,Dec-96,47.5
고산,Jan-97,13.5
고산,Feb-97,14.9
고산,Mar-97,55.2
고산,Apr-97,138.8
고산,May-97,60
고산,Jun-97,41.5
고산,Jul-97,119.7
고산,Aug-97,161.8
고산,Sep-97,12.6
고산,Oct-97,5
고산,Nov-97,197
고산,Dec-97,55.1
고산,Jan-98,81.6
고산,Feb-98,38
고산,Mar-98,96.6
고산,Apr-98,164.8
고산,May-98,85.2
고산,Jun-98,210.9
고산,Jul-98,54.6
고산,Aug-98,42.4
고산,Sep-98,218
고산,Oct-98,37.4
고산,Nov-98,12.7
고산,Dec-98,8.2
고산,Jan-99,96.6
고산,Feb-99,34.5
고산,Mar-99,110.8
고산,Apr-99,65.3
고산,May-99,117.1
고산,Jun-99,120.3
고산,Jul-99,575.5
고산,Aug-99,501.3
고산,Sep-99,171.7
고산,Oct-99,36.6
