분류: 지상,,,,,
요소 : 기온,,,,,
검색구분 : 월,,,,,
지역/지점명 : 고산,,,,,
기간 : 1980 ~ 2018년 01 ~ 12월,,,,,
,,,,,
,,,,,
,,,,,
일시,평균기온(℃),평균최고기온(℃),최고기온(℃),평균최저기온(℃),최저기온(℃)
Jan-88,6.4,8.7,16.3,3.7,-1.6
Feb-88,5.1,7.4,15.3,2.4,-2.1
Mar-88,7.9,10.2,19,5.3,-1.2
Apr-88,12.6,15.7,20.3,9.7,5.6
May-88,17,20.2,25.1,14.5,11.9
Jun-88,20.5,22.9,25.1,18.5,14.1
Jul-88,25.5,27.9,30.3,23.5,18.5
Aug-88,25.6,28.1,30.5,23.4,19.3
Sep-88,22.7,25.1,28.7,20.1,15.5
Oct-88,18,20.6,25.8,15.8,10.1
Nov-88,12.2,15.2,21.1,9.8,4.4
Dec-88,8.4,10.8,19.6,6,0
Jan-89,7.4,9.4,16.5,5.4,-1
Feb-89,7.5,9.7,15.3,5.3,0.4
Mar-89,9.5,12.2,18.8,6.9,0.4
Apr-89,14.5,17.6,25.8,11.5,8.1
May-89,16.7,19.5,23,14.4,12.1
Jun-89,19.6,22.4,25.6,17.2,13.8
Jul-89,24.2,26.8,30.5,22.2,17.4
Aug-89,25.7,28.7,30.5,23.3,21.4
Sep-89,22.9,25.4,29.6,20.8,17.8
Oct-89,17.3,20.3,25.1,14.8,9.7
Nov-89,12.6,14.9,23.4,10.3,4.2
Dec-89,9.1,11.3,18.9,7.1,2.4
Jan-90,5.3,8,17,2.6,-3.5
Feb-90,8,10.3,16,5.5,1.6
Mar-90,10.2,12.9,19.2,7.7,3.6
Apr-90,12.9,15.8,24.5,10.2,5.9
May-90,17.1,19.8,23.9,14.5,10.3
Jun-90,21.2,23.9,29.4,19.4,15.2
Jul-90,25.7,28.1,32.3,23.8,19
Aug-90,27.9,30.9,32.4,25,22.2
Sep-90,23.5,26.3,30.2,21.1,18.2
Oct-90,18.2,20.5,23.8,15.9,12.4
Nov-90,15.1,17.8,23.2,12.3,6.2
Dec-90,8.9,11.6,19.5,6.3,1.4
Jan-91,6.6,8.9,14.1,4.5,1.5
Feb-91,5.8,8.1,14,3.5,-3
Mar-91,9.3,11.7,16.3,6.8,1.1
Apr-91,13.4,16.4,21,10.7,3.3
May-91,16.5,19,24.5,14.1,9.7
Jun-91,20.2,22,25.2,18.6,15.1
Jul-91,24.3,26.2,31.4,22.8,19.3
Aug-91,24.7,27.3,29.9,22.7,19.1
Sep-91,23.1,26.1,29.5,20.6,15.3
Oct-91,17.2,19.7,24.8,14.8,9.9
Nov-91,12.5,15.1,20.5,9.7,4.3
Dec-91,9.3,11.9,19.8,6.6,-0.3
Jan-92,7.5,9.4,14.5,5.1,0.2
Feb-92,6.9,9.3,17.1,4.4,0.2
Mar-92,10.1,12.6,17.5,7.9,3.3
Apr-92,13.7,16.5,20.5,10.9,7.3
May-92,16.4,19.6,22.9,13.6,9.7
Jun-92,19.7,22.2,25.9,17.2,14.3
Jul-92,24.6,26.6,29.5,22.8,18.9
Aug-92,26.1,28.8,31.7,23.7,21.3
Sep-92,23.1,25.6,29.9,20.7,16.1
Oct-92,17.4,20.1,25.8,15.1,10.9
Nov-92,12.6,15.7,23.4,9.3,0.8
Dec-92,9.7,12.1,18.1,7,2
Jan-93,5.7,7.3,13.7,3.7,-1.5
Feb-93,7.1,9.7,15.9,4.4,-0.2
Mar-93,8.9,11.7,15.9,6.2,1
Apr-93,12.4,15.3,20.3,9.8,4.7
May-93,16.4,18.9,21.7,13.9,11.2
Jun-93,20,22.3,26.1,17.8,15
Jul-93,23,25.4,28.7,21.1,16.8
Aug-93,23.9,26.1,28.8,21.9,18.4
Sep-93,22.2,25.1,28.5,19.7,15.6
