강수분석,
자료구분 : 월,
자료형태 : 기본,
지역/지점 : 서귀포,
기간 : 1980~2018 01~12,
,
년월,강수량(mm)
Jan-80,62.8
Feb-80,46.9
Mar-80,143.3
Apr-80,179.9
May-80,310.1
Jun-80,156.9
Jul-80,302
Aug-80,261.2
Sep-80,52.1
Oct-80,86
Nov-80,83.4
Dec-80,36.8
Jan-81,36.8
Feb-81,78.6
Mar-81,117.8
Apr-81,135.6
May-81,124.5
Jun-81,349.6
Jul-81,117.7
Aug-81,309.3
Sep-81,200.5
Oct-81,157.6
Nov-81,69.6
Dec-81,14.7
Jan-82,46.9
Feb-82,94.9
Mar-82,148.8
Apr-82,173
May-82,140.2
Jun-82,70.4
Jul-82,387.4
Aug-82,227.5
Sep-82,57.7
Oct-82,48
Nov-82,177.8
Dec-82,14.3
Jan-83,36.5
Feb-83,50.6
Mar-83,137.8
Apr-83,184.2
May-83,171
Jun-83,139.5
Jul-83,235.4
Aug-83,161.3
Sep-83,611
Oct-83,59
Nov-83,39.4
Dec-83,9.4
Jan-84,23.5
Feb-84,32
Mar-84,47.5
Apr-84,141
May-84,70.7
Jun-84,254.7
Jul-84,158.5
Aug-84,148.4
Sep-84,155.1
Oct-84,5.2
Nov-84,45.3
Dec-84,63.9
Jan-85,19.8
Feb-85,88.4
Mar-85,216.7
Apr-85,213.8
May-85,281.5
Jun-85,896.2
Jul-85,551.8
Aug-85,392.4
Sep-85,168.6
Oct-85,299.4
Nov-85,78.3
Dec-85,37.4
Jan-86,16.9
Feb-86,30.9
Mar-86,115.5
Apr-86,211.5
May-86,111.7
Jun-86,401.3
Jul-86,394.1
Aug-86,131.7
Sep-86,148.1
Oct-86,60
Nov-86,24.1
Dec-86,100.2
Jan-87,70.2
Feb-87,52.8
Mar-87,132.9
Apr-87,161.6
May-87,141.1
Jun-87,166.1
Jul-87,733.6
Aug-87,400.8
Sep-87,39.1
Oct-87,14.2
Nov-87,37.4
Dec-87,3.1
Jan-88,11.9
Feb-88,36.2
Mar-88,140.8
Apr-88,242.6
May-88,301.6
Jun-88,315.7
Jul-88,209.4
Aug-88,185.1
Sep-88,103.2
Oct-88,8.4
Nov-88,9.8
