분류: 지상,,,
요소 : 기온,,,
검색구분 : 월,,,
지역/지점명 : 서귀포,,,
기간 : 1980 ~ 2018년 01 ~ 12월,,,
,,,
,,,
,,,
일시,평균기온(℃),평균최고기온(℃),평균최저기온(℃)
Jan-80,6.6,9.9,3.4
Feb-80,5.4,9.1,1.5
Mar-80,9.9,13.4,6.1
Apr-80,14,17.3,9.9
May-80,17.8,21.3,13.9
Jun-80,21.4,24.1,19
Jul-80,24.3,26.5,22.2
Aug-80,24,26.6,21.7
Sep-80,22,25.8,18.6
Oct-80,18.1,21.7,14.5
Nov-80,14.1,18.9,10
Dec-80,6.3,10.5,2.7
Jan-81,4.6,8.8,0.7
Feb-81,6.1,9.9,2.5
Mar-81,10.5,14.5,6.7
Apr-81,14.3,17.8,10.5
May-81,17.6,21.6,13.5
Jun-81,21.6,24.2,18.7
Jul-81,27.1,29.7,24.7
Aug-81,26.9,30.2,24
Sep-81,22.7,26.9,19.2
Oct-81,17.8,22,14
Nov-81,11.8,16.1,8.1
Dec-81,8,12.7,3.7
Jan-82,5.8,9.9,2
Feb-82,7.5,11.8,3.9
Mar-82,11.1,14.7,7.2
Apr-82,14,17.7,10.3
May-82,19.2,22.5,16.2
Jun-82,21.5,25,18.1
Jul-82,23.9,26.7,21.5
Aug-82,26.4,29.3,23.9
Sep-82,22.2,25.9,18.8
Oct-82,19.5,24,15.8
Nov-82,14.7,18.5,11.6
Dec-82,8.4,12.8,4.6
Jan-83,6.5,11,3
Feb-83,6.4,10.9,2.3
Mar-83,10.1,13.8,6.9
Apr-83,15.1,18.7,11.4
May-83,18.4,21.9,15
Jun-83,20.7,23.9,17.9
Jul-83,24.3,26.7,22.4
Aug-83,26.9,30.1,24.4
Sep-83,24.1,27.7,21.5
Oct-83,19.3,23.3,15.9
Nov-83,12.4,17,8.6
Dec-83,7.2,11.9,3.5
Jan-84,3.8,8.1,0.8
Feb-84,4.5,8.6,1.2
Mar-84,8.1,12.2,4.2
Apr-84,13.9,17.3,10.6
May-84,17.7,21.1,14.1
Jun-84,21.7,24.3,19.3
Jul-84,26.2,29.4,23.8
Aug-84,27.2,30.1,24.6
Sep-84,22.9,26.9,19.5
Oct-84,18.1,22.8,14
Nov-84,14.5,19.2,10.6
Dec-84,8.4,12.4,5.1
Jan-85,4.9,9.3,1.5
Feb-85,7.3,11,4.2
Mar-85,10,14,6.9
Apr-85,14.3,18.1,10.4
May-85,18.6,21.6,15.6
Jun-85,21.3,24.1,18.7
Jul-85,26,28.7,23.7
Aug-85,27.3,30.3,24.7
Sep-85,24.8,28.3,21.8
Oct-85,19,23,15.7
Nov-85,12.3,16.4,8.8
Dec-85,6.9,11,3.5
Jan-86,5.2,9.3,1.9
Feb-86,4.7,9.2,1
Mar-86,9.7,14.1,6
Apr-86,14.4,18.1,10.8
May-86,18.5,22.2,14.8
Jun-86,21.5,24.8,18.5
Jul-86,24.1,26.9,21.9
Aug-86,26.8,30.4,23.4
Sep-86,22.1,25.8,18.9
Oct-86,17.3,21.9,13.5
Nov-86,13.2,17.3,9.7
Dec-86,10,14.3,6.2
Jan-87,7,11.3,3.1
Feb-87,7.7,12.1,4.1
Mar-87,9.9,13.6,6.3
Apr-87,14.2,18.5,10.3
May-87,18.1,21.6,14.7
Jun-87,21.4,24.8,18.3
Jul-87,24.3,26.7,22.6
Aug-87,26.4,29.6,23.9
Sep-87,22.4,25.9,19.1
Oct-87,20,23.7,17
Nov-87,14.5,19,11
Dec-87,9.3,13.9,5.7
Jan-88,7.4,11.7,4
Feb-88,6.7,10.8,3.1
Mar-88,9.1,12.8,5.7
Apr-88,14.3,18.5,10.1
May-88,18.7,22.3,15.4
