강수분석,
자료구분 : 월,
지역/지점 : 성산,
기간 : 1980~2018 01~12,
,
년월,강수량(mm)
Jan-80,143.3
Feb-80,61.4
Mar-80,154.3
Apr-80,171.5
May-80,254.3
Jun-80,185
Jul-80,330.5
Aug-80,515.5
Sep-80,60.5
Oct-80,162.6
Nov-80,192.9
Dec-80,85.5
Jan-81,40.4
Feb-81,86.1
Mar-81,65.3
Apr-81,150.6
May-81,68.6
Jun-81,346.2
Jul-81,99.4
Aug-81,510.8
Sep-81,383.9
Oct-81,132.6
Nov-81,75.8
Dec-81,20.8
Jan-82,49.8
Feb-82,67.2
Mar-82,149.7
Apr-82,124.7
May-82,74.1
Jun-82,40.8
Jul-82,378.2
Aug-82,218.3
Sep-82,102.9
Oct-82,44.1
Nov-82,161.1
Dec-82,35.9
Jan-83,72.7
Feb-83,81.8
Mar-83,123.9
Apr-83,158.8
May-83,97.4
Jun-83,97.3
Jul-83,226.8
Aug-83,151.6
Sep-83,742.4
Oct-83,77.5
Nov-83,92.9
Dec-83,35.8
Jan-84,39.5
Feb-84,38.2
Mar-84,44.9
Apr-84,123.3
May-84,45.2
Jun-84,231.3
Jul-84,124.5
Aug-84,219.1
Sep-84,199.1
Oct-84,11.4
Nov-84,90.7
Dec-84,87.8
Jan-85,30.2
Feb-85,155.7
Mar-85,222.4
Apr-85,192.9
May-85,188.7
Jun-85,841.1
Jul-85,523.7
Aug-85,288.3
Sep-85,193.9
Oct-85,419.7
Nov-85,85.5
Dec-85,51.8
Jan-86,45.8
Feb-86,35.2
Mar-86,64.9
Apr-86,123.7
May-86,92.2
Jun-86,313
Jul-86,470.8
Aug-86,267
Sep-86,229.1
Oct-86,67.6
Nov-86,12.9
Dec-86,79.1
Jan-87,55.2
Feb-87,64.7
Mar-87,151.7
Apr-87,163.8
May-87,168.4
Jun-87,281.5
Jul-87,698.9
Aug-87,579.9
Sep-87,68
Oct-87,16.2
Nov-87,70
Dec-87,5.2
Jan-88,18.2
Feb-88,36
Mar-88,165.1
Apr-88,138.5
May-88,205.3
Jun-88,201.2
Jul-88,163.3
Aug-88,194.3
Sep-88,78.5
Oct-88,15.8
Nov-88,25.4
Dec-88,22.8
Jan-89,121.4
Feb-89,133.5
Mar-89,71.1
Apr-89,55.3
May-89,170.2
Jun-89,283.6
Jul-89,199.8
Aug-89,126.3
Sep-89,311.2
Oct-89,115.1
Nov-89,90.8
Dec-89,17.8
Jan-90,118.3
Feb-90,175.2
Mar-90,82.9
Apr-90,173.8
May-90,162.4
Jun-90,304.3
