기온분석,,,
[검색조건],,,
자료구분 : 월,,,
자료형태 : 기본,,,
지역/지점 : 성산,,,
기간 : 1980~2018 01~12,,,
,,,
년월,평균기온(℃),최저기온(℃),최고기온(℃)
Jan-80,5.5,-4.8,17.1
Feb-80,3.7,-3.1,15.5
Mar-80,8.4,-0.4,16
Apr-80,12.7,-0.5,21
May-80,16.8,5.4,25
Jun-80,21.2,10.6,28.4
Jul-80,24,17.9,31.1
Aug-80,23.7,17.3,29.9
Sep-80,21,10.9,29.3
Oct-80,17.3,5.1,25.3
Nov-80,12.7,2.7,22.5
Dec-80,5.3,-2.3,17.2
Jan-81,3.2,-5,13.6
Feb-81,5.2,-5.7,14.7
Mar-81,9.5,-4.5,20
Apr-81,13.1,2,24.6
May-81,16.9,6,29.9
Jun-81,20.8,8.2,29.4
Jul-81,27.1,22,33.6
Aug-81,26.5,19.9,33.2
Sep-81,22,12.5,28.4
Oct-81,16.8,3.8,24.9
Nov-81,10.2,0.4,19.2
Dec-81,6.4,-3.4,17.7
Jan-82,4.2,-2.7,16.2
Feb-82,5.7,-1.5,14.2
Mar-82,9.7,-1,18
Apr-82,12.9,0.9,22.9
May-82,18.4,6.9,26.5
Jun-82,21.2,12.1,29.3
Jul-82,23.7,14.4,33.1
Aug-82,26,16.8,31.6
Sep-82,21.8,11.8,28.5
Oct-82,18.4,5.7,25.5
Nov-82,13.6,4.2,21.9
Dec-82,6.9,-0.6,17.9
Jan-83,5.4,-2,17.3
Feb-83,5,-6.1,17.3
Mar-83,10,-1.1,18
Apr-83,14.3,-0.6,25.5
May-83,17.5,4,29.9
Jun-83,20.2,12.1,29
Jul-83,24.8,16,33.5
Aug-83,26.9,20.4,35.5
Sep-83,23.8,17,31
Oct-83,18.3,6.4,27.4
Nov-83,11.6,1.6,20.4
Dec-83,6.1,-3,18.4
Jan-84,2.8,-3.1,13.4
Feb-84,3.3,-4.3,12.8
Mar-84,7,-3.6,16.9
Apr-84,13.1,3.9,21.9
May-84,16.6,5.8,26.3
Jun-84,21.3,10.8,29.2
Jul-84,26,17.6,32.5
Aug-84,27,19.3,33.3
Sep-84,22.3,13.9,29.2
Oct-84,17.4,4.9,25.8
Nov-84,13.3,2.3,23.9
Dec-84,7.2,-1.2,19
Jan-85,3.5,-3.5,14.2
Feb-85,6.6,-3,14.8
Mar-85,8.7,0.2,17.6
Apr-85,13.4,1.2,23.8
May-85,18,9.3,24.9
Jun-85,21,9.5,25.8
Jul-85,26.1,18.8,32.3
Aug-85,27,20.8,32.7
Sep-85,24.2,11.9,32
Oct-85,18.3,8.6,26.9
Nov-85,11.5,-0.6,22.3
Dec-85,5.8,-2.7,19.4
Jan-86,3.9,-4.6,13.7
Feb-86,3.5,-3.4,12.7
Mar-86,8.5,-2.4,18.5
Apr-86,13.4,2.9,23.5
May-86,17.2,7.2,25.1
Jun-86,21,11.2,30.7
Jul-86,23.8,16.5,32.1
Aug-86,26.2,16.2,32.9
Sep-86,21.2,12.3,29
Oct-86,16.1,3.4,24.3
Nov-86,11.5,1.4,21.5
Dec-86,8.8,-1.5,18.6
Jan-87,5.6,-3.6,18.3
Feb-87,6.5,-4.2,19.1
Mar-87,8.6,-0.8,22.3
Apr-87,12.7,0.7,22.9
May-87,16.9,5,25.5
Jun-87,20.9,11.8,29
Jul-87,24.3,18.9,31.9
Aug-87,26.3,20.4,32.3
Sep-87,21.9,12.2,29.3
Oct-87,19.6,5.7,27.4
Nov-87,13.1,1.3,22.7
Dec-87,7.7,-0.5,21.4
Jan-88,5.9,-2.4,16.7
Feb-88,5.5,-5.3,19.8
Mar-88,8.2,-3.5,16.7
Apr-88,13.2,-0.6,25.4
May-88,17.6,8.3,27
Jun-88,21.3,11.4,31.6
