Sep,insolation
 1980-10,672.65
 1981-10,689.99
 1982-10,394.29
 1983-10,320.24
 1984-10,414.55
 1985-10,325.46
 1986-10,402.59
 1987-10,330.41
 1988-10,472.44
 1989-10,500.44
 1990-10,453.59
 1991-10,464.36
 1992-10,347.99
 1993-10,353.43
 1994-10,466.03
 1995-10,403.88
 1996-10,358.22
 1997-10,419.52
 1998-10,388.16
 1999-10,371.48
 2000-10,396.97
 2001-10,440.16
 2002-10,401.06
 2003-10,443.3
 2004-10,452.88
 2005-10,378.68
 2006-10,451.23
 2007-10,462.07
 2008-10,434.31
 2009-10,499.1
 2010-10,416.35
 2011-10,471.52
 2012-10,503.96
 2013-10,476.96
 2014-10,396.31
 2015-10,455.29
 2016-10,276.31
 2017-10,316.02
 2018-10,390.77
