Nov,insolation
 1980-11,585.4
 1981-11,485.49
 1982-11,201.74
 1983-11,255.15
 1984-11,257.49
 1985-11,224.56
 1986-11,242.01
 1987-11,244.29
 1988-11,325.86
 1989-11,289.32
 1990-11,233.42
 1991-11,302.8
 1992-11,237.44
 1993-11,183.36
 1994-11,347.29
 1995-11,311.47
 1996-11,220.05
 1997-11,211.38
 1998-11,334.98
 1999-11,251.17
 2000-11,316
 2001-11,322.89
 2002-11,271.25
 2003-11,218.55
 2004-11,295.33
 2005-11,277.85
 2006-11,231.51
 2007-11,325.24
 2008-11,267.05
 2009-11,251.22
 2010-11,329.25
 2011-11,285.15
 2012-11,299.57
 2013-11,285.47
 2014-11,242.51
 2015-11,175.93
 2016-11,247.4
 2017-11,288.3
 2018-11,294.87
