Jun,insolation
 1980-06,921.71
 1981-06,835.61
 1982-06,633.8
 1983-06,524.78
 1984-06,498.25
 1985-06,481.78
 1986-06,550.16
 1987-06,548.16
 1988-06,454.48
 1989-06,494.94
 1990-06,518.75
 1991-06,450.73
 1992-06,518.71
 1993-06,441.09
 1994-06,494.61
 1995-06,518.1
 1996-06,408.31
 1997-06,522.4
 1998-06,435.76
 1999-06,499.06
 2000-06,502.96
 2001-06,462.19
 2002-06,625.7
 2003-06,528.68
 2004-06,512.74
 2005-06,654.5
 2006-06,514.84
 2007-06,512.41
 2008-06,428.33
 2009-06,623.8
 2010-06,515.91
 2011-06,499.06
 2012-06,597.27
 2013-06,529.32
 2014-06,529.41
 2015-06,479.34
 2016-06,451.38
 2017-06,584.91
 2018-06,576.1
