Jul,insolation
 1980-07,790.06
 1981-07,1251.67
 1982-07,508.07
 1983-07,538.1
 1984-07,611.03
 1985-07,626.32
 1986-07,455.71
 1987-07,427.15
 1988-07,614.36
 1989-07,556.34
 1990-07,574.86
 1991-07,470.98
 1992-07,522.83
 1993-07,409.07
 1994-07,682.25
 1995-07,530.51
 1996-07,468.03
 1997-07,534.55
 1998-07,601.67
 1999-07,432.37
 2000-07,614.81
 2001-07,635.99
 2002-07,503.99
 2003-07,399.71
 2004-07,709.95
 2005-07,535.8
 2006-07,541.32
 2007-07,529.53
 2008-07,659.78
 2009-07,574.58
 2010-07,574.45
 2011-07,681.13
 2012-07,580.38
 2013-07,658.01
 2014-07,468.17
 2015-07,593.93
 2016-07,610.55
 2017-07,617.2
 2018-07,632.09
