일시,평균기온,최고기온 평균,최저기온 평균,강수량mm
 1980-01,6,9.1,3,143.3
 1980-02,4.4,7.7,1.2,61.4
 1980-03,8.9,12.3,5.2,154.3
 1980-04,13.3,17,9,179.9
 1980-05,17.2,21.2,12.9,310.1
 1980-06,21.3,24.7,18.5,185
 1980-07,24.1,26.9,21.7,330.5
 1980-08,23.7,26.2,21.4,515.5
 1980-09,21.3,24.8,17.8,60.5
 1980-10,17.5,20.8,13.9,162.6
 1980-11,13.2,17.6,8.9,192.9
 1980-12,5.9,9.4,2.5,85.5
 1981-01,3.8,7,0.6,40.4
 1981-02,5.6,8.7,2.1,86.1
 1981-03,9.8,13.7,5.7,117.8
 1981-04,13.4,17,9.2,150.6
 1981-05,17.3,21.6,12.8,124.5
 1981-06,21.2,24.4,18,349.6
 1981-07,27.2,30.2,24.5,117.7
 1981-08,26.6,29.9,23.6,510.8
 1981-09,22.2,25.7,18.8,464.5
 1981-10,17.2,20.9,13.2,169.2
 1981-11,10.7,14.2,6.9,86.2
 1981-12,7.2,11.1,3.2,20.8
 1982-01,4.9,8.5,1.1,75.9
 1982-02,6.3,9.8,2.7,94.9
 1982-03,10.1,13.7,5.8,149.7
 1982-04,13.2,17,8.9,173
 1982-05,18.8,22.6,14.9,140.2
 1982-06,21.3,24.9,17.5,70.4
 1982-07,24,27.1,21.3,387.4
 1982-08,26.3,29.4,23.4,250.6
 1982-09,21.9,25.2,18.5,102.9
 1982-10,18.8,22.8,15,67.5
 1982-11,14,17.3,10.7,177.8
 1982-12,7.8,12,3.9,43.5
 1983-01,5.9,9.5,2.5,72.7
 1983-02,5.5,9.5,1.5,81.8
 1983-03,9.9,13.2,6.6,137.8
 1983-04,14.8,18.6,10.4,184.2
 1983-05,17.8,21.8,13.7,171
 1983-06,20.5,24,17.3,139.5
 1983-07,24.8,27.7,22.2,235.4
 1983-08,26.9,30.2,24.1,161.3
 1983-09,23.9,27.2,21.1,742.4
 1983-10,18.6,22.3,15.2,77.5
 1983-11,12,16,8.3,92.9
 1983-12,6.7,10.4,3.2,35.8
 1984-01,3.2,6.5,0.5,39.5
 1984-02,3.7,7,0.5,38.2
 1984-03,7.3,11.2,3.4,47.5
 1984-04,13.3,16.9,9.7,141
 1984-05,17.1,20.9,12.9,70.7
 1984-06,21.6,24.8,18.6,254.7
 1984-07,26.2,29.5,23.5,158.5
 1984-08,27.1,30.2,24.2,219.1
 1984-09,22.6,26.3,18.9,199.1
 1984-10,17.6,21.6,13.6,28.4
 1984-11,13.6,17.7,9.6,90.7
 1984-12,7.6,10.9,4.5,87.8
