Sep.,강수량mm,평균상대습도
 1980-10,162.6,77
 1981-10,169.2,74
 1982-10,67.5,78
 1983-10,77.5,76
 1984-10,28.4,69
 1985-10,421.4,76
 1986-10,67.6,77
 1987-10,18.3,74
 1988-10,15.8,73
 1989-10,115.1,76
 1990-10,116.2,75
 1991-10,22.9,72
 1992-10,7.5,75
 1993-10,83.2,70
 1994-10,271.1,71
 1995-10,103.1,72
 1996-10,194.5,72
 1997-10,14,69
 1998-10,70.1,79
 1999-10,80,73
 2000-10,213.5,74
 2001-10,176,69
 2002-10,182.8,72
 2003-10,51.5,66
 2004-10,46,67
 2005-10,64.5,71
 2006-10,68,74
 2007-10,183,71
 2008-10,91,68
 2009-10,82.1,60
 2010-10,125,74
 2011-10,71,68
 2012-10,47,74
 2013-10,116.6,74
 2014-10,203.9,75
 2015-10,61,71
 2016-10,433.6,81
 2017-10,389.1,80
 2018-10,347,71
