강수분석,
자료구분 : 월,
지역/지점 : 제주,
기간 : 1980~2018 01~12,
,
년월,강수량(mm)
Jan-80,87.1
Feb-80,45.8
Mar-80,120
Apr-80,79.3
May-80,166.8
Jun-80,121.9
Jul-80,195.3
Aug-80,372.5
Sep-80,55.3
Oct-80,112.9
Nov-80,128.6
Dec-80,60.1
Jan-81,33.1
Feb-81,76.7
Mar-81,19.7
Apr-81,86.6
May-81,27.7
Jun-81,187.4
Jul-81,113.8
Aug-81,327.2
Sep-81,464.5
Oct-81,169.2
Nov-81,86.2
Dec-81,20.3
Jan-82,75.9
Feb-82,37.4
Mar-82,60.4
Apr-82,152.3
May-82,28.4
Jun-82,25.5
Jul-82,309.8
Aug-82,250.6
Sep-82,91.4
Oct-82,67.5
Nov-82,105.3
Dec-82,43.5
Jan-83,55.4
Feb-83,63.4
Mar-83,69.6
Apr-83,85.7
May-83,88.9
Jun-83,63.6
Jul-83,217.9
Aug-83,112.9
Sep-83,449.9
Oct-83,77.2
Nov-83,77
Dec-83,12.1
Jan-84,22.2
Feb-84,26.2
Mar-84,43.3
Apr-84,84.7
May-84,35.1
Jun-84,179.5
Jul-84,86.3
Aug-84,187.2
Sep-84,72.5
Oct-84,28.4
Nov-84,36.3
Dec-84,76.8
Jan-85,31.5
Feb-85,164.1
Mar-85,141.3
Apr-85,149.3
May-85,78.1
Jun-85,693.9
Jul-85,259.8
Aug-85,279.3
Sep-85,104.8
Oct-85,421.4
Nov-85,43.4
Dec-85,53.7
Jan-86,50.4
Feb-86,39.6
Mar-86,41.9
Apr-86,52.4
May-86,61.5
Jun-86,178.6
Jul-86,490
Aug-86,477.6
Sep-86,273.7
Oct-86,56.9
Nov-86,32.3
Dec-86,73.7
Jan-87,40.7
Feb-87,62.5
Mar-87,134.4
Apr-87,99
May-87,88
Jun-87,170.5
Jul-87,586.3
Aug-87,428.6
Sep-87,29.6
Oct-87,18.3
Nov-87,46.5
Dec-87,15
Jan-88,11.7
Feb-88,53.3
Mar-88,160.7
Apr-88,72.8
May-88,156.1
Jun-88,116.9
Jul-88,233.4
Aug-88,149.7
Sep-88,71.9
Oct-88,7.5
Nov-88,18.1
Dec-88,32.5
Jan-89,120.7
Feb-89,129.4
Mar-89,59.2
Apr-89,40.1
May-89,128.9
Jun-89,137.7
Jul-89,179.7
Aug-89,120.4
Sep-89,347.2
Oct-89,14.3
Nov-89,59.7
Dec-89,21.3
Jan-90,64.5
Feb-90,119.8
Mar-90,39.2
Apr-90,97.5
May-90,104.5
Jun-90,271.8
Jul-90,200.6
Aug-90,176.1
Sep-90,257.9
Oct-90,53.3
Nov-90,118.7
Dec-90,40.6
Jan-91,104.2
Feb-91,63.7
Mar-91,203.2
Apr-91,87.6
May-91,165.5
Jun-91,228.7
Jul-91,338.5
Aug-91,260
Sep-91,236.5
Oct-91,22.9
Nov-91,43.7
Dec-91,56.4
Jan-92,78.5
Feb-92,23.4
Mar-92,227.5
Apr-92,143.5
May-92,107.5
Jun-92,72.2
Jul-92,92
Aug-92,198.3
Sep-92,191.9
Oct-92,7
Nov-92,56.3
Dec-92,34.8
Jan-93,57.3
Feb-93,42.9
Mar-93,94.6
Apr-93,29
May-93,141.8
Jun-93,204.9
Jul-93,137.5
Aug-93,578.4
Sep-93,34.2
Oct-93,60.2
Nov-93,115.6
Dec-93,56.4
Jan-94,37.5
Feb-94,46
Mar-94,43.5
Apr-94,106.5
May-94,24.8
Jun-94,342.3
Jul-94,72.3
Aug-94,365.3
Sep-94,94
Oct-94,271.1
Nov-94,17.1
Dec-94,28.5
Jan-95,52.2
Feb-95,55.1
Mar-95,61.3
Apr-95,72.9
May-95,136
Jun-95,100.9
Jul-95,413.2
Aug-95,336.9
Sep-95,121.2
Oct-95,66.8
Nov-95,33.8
Dec-95,22.6
Jan-96,29.9
Feb-96,21.2
Mar-96,114.1
Apr-96,35.5
May-96,57.2
Jun-96,223.7
Jul-96,48.7
Aug-96,111.7
Sep-96,7.8
Oct-96,100.7
Nov-96,78.8
Dec-96,51.8
Jan-97,23.8
Feb-97,26.6
Mar-97,72.1
Apr-97,170.8
May-97,74.6
Jun-97,79.2
Jul-97,108.3
Aug-97,161.3
Sep-97,44.8
Oct-97,4.5
Nov-97,157.5
Dec-97,76
Jan-98,170.2
Feb-98,59.7
Mar-98,110.4
Apr-98,196.2
May-98,116.5
Jun-98,228.2
Jul-98,111.5
Aug-98,75
Sep-98,413
Oct-98,70.1
Nov-98,19.6
Dec-98,10.7
Jan-99,84
Feb-99,62.4
Mar-99,110.4
Apr-99,37.5
May-99,79
Jun-99,204
Jul-99,706
Aug-99,642.8
Sep-99,508
Oct-99,41.2
Nov-99,24.9
Dec-99,25.8
Jan-00,60
Feb-00,16.3
Mar-00,43.5
Apr-00,32.8
May-00,46.2
Jun-00,97.6
Jul-00,166.2
Aug-00,169.6
Sep-00,331.2
Oct-00,113
Nov-00,93.2
Dec-00,19.8
Jan-01,117
Feb-01,81.9
Mar-01,21.9
Apr-01,62.6
May-01,105.4
Jun-01,259.7
Jul-01,123.1
Aug-01,233.9
Sep-01,109.7
Oct-01,123.8
Nov-01,42
Dec-01,107.6
Jan-02,56.6
Feb-02,33.8
Mar-02,59.4
Apr-02,65.1
May-02,141.6
Jun-02,118.6
Jul-02,495.7
Aug-02,356.5
Sep-02,143.9
Oct-02,112.3
Nov-02,18.2
Dec-02,102.4
Jan-03,55.9
Feb-03,64.4
Mar-03,164
Apr-03,120.9
May-03,284.3
Jun-03,201.9
Jul-03,362.2
Aug-03,245.1
Sep-03,330.4
Oct-03,37.6
Nov-03,112.5
Dec-03,20
Jan-04,40.6
Feb-04,48
Mar-04,57.7
Apr-04,55.5
May-04,124.8
Jun-04,66.1
Jul-04,55.7
Aug-04,405.1
Sep-04,348.5
Oct-04,24.9
Nov-04,51.5
Dec-04,55.4
Jan-05,47
Feb-05,98.3
Mar-05,84.6
Apr-05,33.5
May-05,52.8
Jun-05,11.5
Jul-05,120.7
Aug-05,217.6
Sep-05,9
Oct-05,26.1
Nov-05,92.5
Dec-05,78.9
Jan-06,57
Feb-06,73.5
Mar-06,43.8
