분류: 지상,,,,,
요소 : 기온,,,,,
검색구분 : 월,,,,,
지역/지점명 : 제주,,,,,
기간 : 1980 ~ 2018년 01 ~ 12월,,,,,
,,,,,
,,,,,
,,,,,
일시,평균기온(℃),평균최고기온(℃),최고기온(℃),평균최저기온(℃),최저기온(℃)
Jan-80,6,8.5,16,3.1,-2.8
Feb-80,4.2,6.8,17.1,1.4,-2
Mar-80,8.4,11.3,15.8,5,1.3
Apr-80,13.3,17,23.9,9,4.7
May-80,17.1,21.3,28.9,12.8,7.4
Jun-80,21.4,25.2,30.1,18.4,14
Jul-80,24.1,27.2,32.6,21.5,18.1
Aug-80,23.5,25.9,31.9,21.1,18.9
Sep-80,20.9,23.9,28.7,17.6,14
Oct-80,17.1,20.1,27.2,13.5,6.9
Nov-80,12.8,16.5,22.5,9,5.9
Dec-80,6.2,8.9,17.4,3.2,-1.2
Jan-81,3.5,5.9,13.5,0.9,-2.5
Feb-81,5.4,7.9,15.5,2.3,-5.1
Mar-81,9.5,12.9,18.8,5.6,0.8
Apr-81,12.8,16,23.1,9.1,0.8
May-81,17.3,21.3,30.2,13.4,9.5
Jun-81,21.1,24.5,31.3,18.4,11.4
Jul-81,27.5,30.5,34.1,24.8,22.3
Aug-81,26.5,29.7,33.5,23.5,19.9
Sep-81,21.8,24.8,29.5,19,14.4
Oct-81,16.9,20.1,25,13.3,8.2
Nov-81,10.1,13,18.4,6.8,1.4
Dec-81,7.1,9.9,18.1,3.7,-0.2
Jan-82,4.7,7.6,17.6,1.1,-2.2
Feb-82,5.6,8.5,14.7,2.2,-1
Mar-82,9.4,12.8,18.4,5.3,0
Apr-82,12.8,16.2,25,8.6,3.2
May-82,18.8,22.8,27.7,15,10.8
Jun-82,21.2,24.6,29,18.1,13.9
Jul-82,24.4,27.7,33.2,21.7,17.3
Aug-82,26.4,29.5,34,23.6,19.6
Sep-82,21.6,24.4,27.8,18.5,15.5
Oct-82,18.5,21.8,26.1,15.2,7.3
Nov-82,13.8,16.6,22.8,10.8,5.8
Dec-82,8.1,11.5,19.3,4.9,1.3
Jan-83,5.8,8.6,16.5,2.9,-0.9
Feb-83,5.2,8.5,16.2,1.8,-2.9
Mar-83,9.7,12.7,19.4,6.6,1.4
Apr-83,14.9,18.7,29,10.5,2.6
May-83,17.5,21.6,26,13.7,7.2
Jun-83,20.6,24.2,29.2,17.6,14.8
Jul-83,25.4,28.6,34.2,22.4,18
Aug-83,26.9,29.9,33.9,24.3,21.6
Sep-83,23.7,26.6,32.3,21,18.4
Oct-83,18.2,21.4,27.9,15.3,7.2
Nov-83,11.9,15.2,19.5,9,2.4
Dec-83,6.8,9.5,17.8,4,-0.4
Jan-84,3.1,5.5,13.2,1,-1.5
Feb-84,3.2,5.9,10.8,0.7,-4
Mar-84,6.8,10.2,15.4,3.7,-1.8
Apr-84,13,16.8,23.2,9.4,3.5
May-84,17,20.4,25.4,13.5,7.3
Jun-84,21.8,25.3,31.4,18.7,14.6
Jul-84,26.3,29.7,34,23.6,19.3
Aug-84,27,30.1,32.3,24.3,21.4
Sep-84,22.5,25.7,32.2,19.1,14.2
Oct-84,17.2,20.6,28.1,14,7.6
Nov-84,12.9,16.5,23.3,9.7,5.2
Dec-84,7.3,9.8,17.8,4.7,-0.5
