행 레이블,합계 : 평균기온(℃)
 1980-10,17.5
 1981-10,17.2
 1982-10,18.8
 1983-10,18.6
 1984-10,17.6
 1985-10,18.5
 1986-10,16.6
 1987-10,19.5
 1988-10,18.2
 1989-10,17.3
 1990-10,18.3
 1991-10,17.3
 1992-10,17.5
 1993-10,17.3
 1994-10,18.6
 1995-10,18.6
 1996-10,18.5
 1997-10,18.1
 1998-10,19.7
 1999-10,18.7
 2000-10,18.7
 2001-10,19.4
 2002-10,17.9
 2003-10,18
 2004-10,18.6
 2005-10,18.9
 2006-10,20.1
 2007-10,19
 2008-10,19.5
 2009-10,19.4
 2010-10,18.3
 2011-10,18.5
 2012-10,18.8
 2013-10,19.7
 2014-10,19.3
 2015-10,18.7
 2016-10,20
 2017-10,19.2
 2018-10,17.5
총합계,721.9
