다중지점통계
[검색조건]
,분류 : 지상
,요소 : 바람일사, 일조
,검색구분 : 월
,지점명 : 고산,서귀포,성산,성산,성산포,제주
,기간 : 1993 ~ 2018  01~12


선텍 전체 통계
일시,평균풍속(m/s),최대풍속(m/s)
 1993-01,11.0,23.7
 1993-02,10.4,22.7
 1993-03,7.9,22.5
 1993-04,7.4,26.8
 1993-05,6.2,16.8
 1993-06,5.5,22.3
 1993-07,5.5,14.3
 1993-08,6.1,22.8
 1993-09,5.2,16.5
 1993-10,7.4,21.5
 1993-11,6.8,21.7
 1993-12,10.3,21.7
 1994-01,9.5,22.5
 1994-02,9.7,23.2
 1994-03,9.7,19.7
 1994-04,5.2,20.0
 1994-05,7.4,17.3
 1994-06,4.9,22.7
 1994-07,5.1,16.8
 1994-08,6.7,20.2
 1994-09,6.5,14.8
 1994-10,7.1,20.7
 1994-11,5.6,14.3
 1994-12,8.2,20.2
 1995-01,11.0,19.7
 1995-02,9.2,18.7
 1995-03,8.5,23.7
 1995-04,6.6,18.2
 1995-05,6.1,15.2
 1995-06,4.5,14.3
 1995-07,5.5,22.8
 1995-08,5.5,18.5
 1995-09,5.4,13.2
 1995-10,6.3,19.3
 1995-11,8.8,22.8
 1995-12,9.9,21.7
 1996-01,8.8,22.8
 1996-02,10.2,22.2
 1996-03,8.2,19.0
 1996-04,7.1,21.7
 1996-05,4.9,19.8
 1996-06,5.1,15.0
 1996-07,5.1,13.8
 1996-08,4.4,16.5
 1996-09,4.8,13.3
 1996-10,6.1,18.3
 1996-11,8.5,22.2
 1996-12,9.3,27.3
 1997-01,11.9,29.5
 1997-02,10.4,24.5
 1997-03,7.6,22.3
 1997-04,6.3,17.8
 1997-05,7.5,19.7
 1997-06,5.1,18.0
 1997-07,5.7,14.2
 1997-08,6.2,19.2
 1997-09,7.2,18.3
 1997-10,8.6,21.2
 1997-11,8.3,19.7
 1997-12,8.6,19.7
 1998-01,10.4,25.0
 1998-02,9.3,22.3
 1998-03,8.6,24.3
 1998-04,6.2,19.0
 1998-05,4.4,13.8
 1998-06,5.4,16.8
 1998-07,6.6,16.7
 1998-08,5.5,14.2
 1998-09,5.8,26.3
 1998-10,6.3,22.3
 1998-11,7.5,25.8
 1998-12,8.9,23.7
 1999-01,10.7,25.3
 1999-02,10.6,28.8
 1999-03,6.9,25.5
 1999-04,8.0,23.3
 1999-05,6.3,19.3
 1999-06,4.9,15.0
 1999-07,5.9,22.5
 1999-08,6.3,25.7
 1999-09,5.0,18.5
 1999-10,6.6,18.3
 1999-11,8.8,23.3
 1999-12,9.8,22.3
 2000-01,10.7,22.4
 2000-02,10.2,32.2
 2000-03,8.5,22.0
 2000-04,7.5,26.7
 2000-05,5.5,18.8
 2000-06,4.8,11.4
 2000-07,5.5,16.6
 2000-08,5.7,28.9
 2000-09,6.1,27.6
 2000-10,6.0,16.1
 2000-11,7.5,25.8
 2000-12,8.7,29.0
 2001-01,10.0,31.7
 2001-02,8.4,28.3
 2001-03,9.3,29.7
 2001-04,6.1,22.3
 2001-05,4.8,18.9
 2001-06,4.7,25.1
 2001-07,5.8,16.7
 2001-08,5.7,17.5
 2001-09,5.1,20.4
 2001-10,7.3,24.1
 2001-11,9.8,30.3
 2001-12,11.3,31.2
 2002-01,13.5,31.0
 2002-02,9.5,26.7
 2002-03,8.4,26.6
 2002-04,7.9,24.5
 2002-05,4.8,18.7
 2002-06,4.4,16.9
 2002-07,5.9,25.6
 2002-08,6.1,43.7
 2002-09,5.2,23.6
 2002-10,7.7,22.6
 2002-11,9.7,31.5
 2002-12,9.7,27.4
 2003-01,11.7,28.2
 2003-02,9.3,24.1
 2003-03,9.0,30.1
 2003-04,7.0,19.4
 2003-05,6.1,21.2
 2003-06,5.5,17.1
 2003-07,5.5,19.6
 2003-08,5.6,20.5
 2003-09,5.1,51.1
 2003-10,7.1,23.3
 2003-11,7.9,23.4
 2003-12,10.3,27.0
 2004-01,7.5,21.3
 2004-02,10.1,26.0
 2004-03,8.3,28.1
 2004-04,7.9,26.7
 2004-05,6.6,20.1
 2004-06,4.7,13.4
 2004-07,6.3,25.6
 2004-08,4.9,24.1
 2004-09,6.2,25.6
 2004-10,6.9,20.9
 2004-11,7.8,25.0
 2004-12,9.4,29.4
 2005-01,11.6,32.8
 2005-02,10.5,33.0
 2005-03,11.3,33.3
 2005-04,6.5,21.5
 2005-05,5.7,21.0
 2005-06,4.8,15.0
 2005-07,4.1,20.4
 2005-08,5.5,14.0
 2005-09,6.4,21.0
 2005-10,7.5,21.2
 2005-11,8.1,24.2
 2005-12,13.8,33.9
 2006-01,8.9,24.7
 2006-02,10.4,31.3
 2006-03,9.2,28.1
 2006-04,8.2,24.8
 2006-05,6.1,24.7
 2006-06,5.0,26.3
 2006-07,6.3,26.7
 2006-08,4.3,26.2
 2006-09,5.1,19.4
 2006-10,4.5,17.1
 2006-11,7.5,21.8
 2006-12,8.1,29.2
 2007-01,8.7,30.5
 2007-02,7.5,25.5
 2007-03,7.8,25.2
 2007-04,6.4,19.0
 2007-05,6.1,20.7
 2007-06,4.0,11.1
 2007-07,4.2,15.7
 2007-08,5.5,18.7
 2007-09,5.9,43.0
 2007-10,6.4,18.7
 2007-11,8.2,23.3
 2007-12,9.3,26.4
 2008-01,9.5,24.2
 2008-02,10.9,24.0
 2008-03,7.8,20.2
 2008-04,6.0,21.4
 2008-05,5.3,20.1
 2008-06,4.8,13.8
 2008-07,4.8,12.3
 2008-08,4.7,15.0
 2008-09,4.4,18.2
 2008-10,5.5,16.7
 2008-11,8.0,25.0
 2008-12,9.6,27.6
 2009-01,10.4,26.1
 2009-02,7.8,21.7
 2009-03,8.5,25.4
 2009-04,6.6,22.5
 2009-05,5.8,18.0
 2009-06,5.0,13.8
 2009-07,5.4,14.6
 2009-08,4.3,12.8
 2009-09,4.6,16.9
 2009-10,6.1,17.6
 2009-11,7.9,27.0
 2009-12,10.1,24.7
 2010-01,10.6,27.8
 2010-02,7.7,21.3
 2010-03,8.3,28.4
 2010-04,7.1,24.5
 2010-05,5.5,15.3
 2010-06,3.9,12.5
 2010-07,5.2,15.3
 2010-08,5.1,20.9
 2010-09,5.3,21.6
 2010-10,7.1,25.7
 2010-11,7.5,24.5
 2010-12,11.4,29.1
 2011-01,12.2,25.3
 2011-02,7.5,27.2
 2011-03,9.2,20.7
 2011-04,6.6,16.5
 2011-05,5.6,14.4
 2011-06,4.7,19.3
 2011-07,5.5,11.7
 2011-08,4.8,28.0
 2011-09,5.5,15.8
 2011-10,6.2,19.6
 2011-11,6.2,20.1
 2011-12,8.8,21.1
 2012-01,8.5,19.3
 2012-02,8.4,21.5
 2012-03,7.8,19.5
 2012-04,6.9,24.3
 2012-05,4.1,12.4
 2012-06,3.8,11.6
 2012-07,4.4,17.7
 2012-08,5.7,29.9
 2012-09,5.2,29.3
 2012-10,6.4,17.8
 2012-11,8.1,19.6
 2012-12,9.2,21.8
 2013-01,8.3,18.2
 2013-02,8.3,19.2
 2013-03,7.7,22.6
 2013-04,7.5,24.2
 2013-05,5.0,15.1
 2013-06,3.3,14.6
 2013-07,6.0,13.0
 2013-08,4.8,16.0
 2013-09,4.7,13.8
 2013-10,6.2,22.4
 2013-11,9.2,25.3
 2013-12,10.0,24.6
 2014-01,8.2,22.3
 2014-02,6.6,20.5
 2014-03,8.0,24.2
 2014-04,5.9,22.7
 2014-05,5.2,16.4
 2014-06,4.1,21.7
