,분류 : 지상,,,,,
,요소 : 습도,,,,,
,검색구분 : 월,,,,,
,지점명 : 고산,서귀포,성산,성산,성산포,제주
,기간 : 1980 ~ 2018  01~12,,,,,
,,,,,,
,,,,,,
일시,평균상대습도(%),최소상대습도(%),,,,
 1980-01,76,43,,,,
 1980-02,72,40,,,,
 1980-03,73,35,,,,
 1980-04,75,23,,,,
 1980-05,79,29,,,,
 1980-06,89,34,,,,
 1980-07,92,48,,,,
 1980-08,88,60,,,,
 1980-09,78,40,,,,
 1980-10,77,46,,,,
 1980-11,74,42,,,,
 1980-12,68,39,,,,
 1981-01,67,44,,,,
 1981-02,68,38,,,,
 1981-03,68,26,,,,
 1981-04,73,28,,,,
 1981-05,71,19,,,,
 1981-06,83,31,,,,
 1981-07,87,50,,,,
 1981-08,83,48,,,,
 1981-09,78,40,,,,
 1981-10,74,40,,,,
 1981-11,71,36,,,,
 1981-12,69,41,,,,
 1982-01,70,39,,,,
 1982-02,68,33,,,,
 1982-03,71,32,,,,
 1982-04,76,24,,,,
 1982-05,82,31,,,,
 1982-06,82,34,,,,
 1982-07,91,52,,,,
 1982-08,86,49,,,,
 1982-09,79,43,,,,
 1982-10,78,46,,,,
 1982-11,79,45,,,,
 1982-12,70,46,,,,
 1983-01,72,46,,,,
 1983-02,72,41,,,,
 1983-03,74,30,,,,
 1983-04,79,32,,,,
 1983-05,81,33,,,,
 1983-06,85,38,,,,
 1983-07,87,50,,,,
 1983-08,83,55,,,,
 1983-09,87,54,,,,
 1983-10,76,43,,,,
 1983-11,72,41,,,,
 1983-12,68,46,,,,
 1984-01,68,37,,,,
 1984-02,70,40,,,,
 1984-03,65,30,,,,
 1984-04,79,35,,,,
 1984-05,79,32,,,,
 1984-06,87,49,,,,
 1984-07,86,48,,,,
 1984-08,87,56,,,,
 1984-09,82,44,,,,
 1984-10,69,40,,,,
 1984-11,71,33,,,,
 1984-12,72,38,,,,
 1985-01,65,44,,,,
 1985-02,70,34,,,,
 1985-03,71,35,,,,
 1985-04,75,35,,,,
 1985-05,82,36,,,,
 1985-06,86,49,,,,
 1985-07,85,53,,,,
 1985-08,86,50,,,,
 1985-09,81,40,,,,
 1985-10,76,36,,,,
 1985-11,71,40,,,,
 1985-12,75,38,,,,
 1986-01,72,43,,,,
 1986-02,70,41,,,,
 1986-03,73,36,,,,
 1986-04,72,30,,,,
 1986-05,79,41,,,,
 1986-06,85,35,,,,
 1986-07,87,53,,,,
 1986-08,76,42,,,,
 1986-09,83,40,,,,
 1986-10,77,35,,,,
 1986-11,73,33,,,,
 1986-12,74,38,,,,
 1987-01,71,39,,,,
 1987-02,72,34,,,,
 1987-03,77,37,,,,
 1987-04,77,37,,,,
 1987-05,81,36,,,,
 1987-06,84,40,,,,
 1987-07,92,68,,,,
 1987-08,87,58,,,,
 1987-09,72,29,,,,
 1987-10,74,37,,,,
 1987-11,74,30,,,,
 1987-12,69,36,,,,
 1988-01,68,42,,,,
 1988-02,71,38,,,,
 1988-03,73,39,,,,
 1988-04,74,32,,,,
 1988-05,78,28,,,,
 1988-06,88,54,,,,
 1988-07,86,53,,,,
 1988-08,83,60,,,,
 1988-09,84,51,,,,
 1988-10,73,42,,,,
 1988-11,68,40,,,,
 1988-12,71,41,,,,
 1989-01,78,46,,,,
 1989-02,76,44,,,,
 1989-03,70,36,,,,
 1989-04,75,40,,,,
 1989-05,85,40,,,,
 1989-06,87,42,,,,
 1989-07,90,60,,,,
 1989-08,86,52,,,,
 1989-09,85,47,,,,
 1989-10,76,40,,,,
 1989-11,74,34,,,,
 1989-12,72,42,,,,
 1990-01,72,39,,,,
 1990-02,77,39,,,,
 1990-03,73,35,,,,
 1990-04,74,23,,,,
 1990-05,82,25,,,,
 1990-06,89,38,,,,
 1990-07,91,65,,,,
 1990-08,82,55,,,,
 1990-09,84,47,,,,
 1990-10,75,37,,,,
 1990-11,78,45,,,,
 1990-12,71,38,,,,
 1991-01,69,35,,,,
 1991-02,69,34,,,,
 1991-03,75,30,,,,
 1991-04,75,29,,,,
 1991-05,79,28,,,,
 1991-06,89,50,,,,
 1991-07,93,67,,,,
 1991-08,85,42,,,,
 1991-09,82,51,,,,
 1991-10,72,34,,,,
 1991-11,73,36,,,,
 1991-12,76,47,,,,
 1992-01,71,40,,,,
 1992-02,71,40,,,,
 1992-03,78,34,,,,
 1992-04,78,30,,,,
 1992-05,80,34,,,,
 1992-06,83,49,,,,
 1992-07,91,69,,,,
 1992-08,85,43,,,,
 1992-09,80,36,,,,
 1992-10,75,43,,,,
 1992-11,72,38,,,,
 1992-12,73,40,,,,
 1993-01,74,43,,,,
 1993-02,76,44,,,,
 1993-03,75,41,,,,
 1993-04,74,26,,,,
 1993-05,83,36,,,,
 1993-06,89,44,,,,
 1993-07,87,58,,,,
 1993-08,89,55,,,,
 1993-09,78,39,,,,
 1993-10,70,33,,,,
 1993-11,76,40,,,,
 1993-12,69,40,,,,
 1994-01,69,36,,,,
 1994-02,72,38,,,,
 1994-03,73,39,,,,
 1994-04,83,35,,,,
 1994-05,84,27,,,,
 1994-06,88,31,,,,
 1994-07,87,44,,,,
 1994-08,87,60,,,,
 1994-09,74,42,,,,
 1994-10,71,40,,,,
 1994-11,73,33,,,,
 1994-12,72,41,,,,
 1995-01,67,38,,,,
 1995-02,69,40,,,,
 1995-03,75,31,,,,
 1995-04,75,23,,,,
 1995-05,77,22,,,,
 1995-06,86,35,,,,
 1995-07,91,66,,,,
 1995-08,86,61,,,,
 1995-09,75,39,,,,
 1995-10,72,38,,,,
 1995-11,63,39,,,,
 1995-12,71,46,,,,
 1996-01,71,39,,,,
 1996-02,72,39,,,,
 1996-03,74,34,,,,
 1996-04,65,21,,,,
 1996-05,81,22,,,,
 1996-06,93,57,,,,
 1996-07,90,57,,,,
 1996-08,83,52,,,,
 1996-09,75,30,,,,
 1996-10,72,36,,,,
 1996-11,67,32,,,,
 1996-12,64,30,,,,
 1997-01,64,32,,,,
 1997-02,66,38,,,,
 1997-03,65,27,,,,
 1997-04,71,33,,,,
 1997-05,77,32,,,,
 1997-06,79,38,,,,
 1997-07,88,55,,,,
 1997-08,86,51,,,,
 1997-09,74,41,,,,
 1997-10,69,35,,,,
 1997-11,77,45,,,,
 1997-12,71,45,,,,
 1998-01,71,40,,,,
 1998-02,76,44,,,,
 1998-03,76,32,,,,
 1998-04,89,59,,,,
 1998-05,87,36,,,,
 1998-06,92,50,,,,
 1998-07,92,61,,,,
 1998-08,88,60,,,,
 1998-09,79,45,,,,
 1998-10,79,46,,,,
 1998-11,75,32,,,,
 1998-12,70,36,,,,
 1999-01,72,35,,,,
 1999-02,74,45,,,,
 1999-03,78,34,,,,
 1999-04,79,37,,,,
 1999-05,82,31,,,,
 1999-06,87,41,,,,
 1999-07,91,64,,,,
 1999-08,90,65,,,,
 1999-09,87,41,,,,
 1999-10,73,40,,,,
 1999-11,74,43,,,,
 1999-12,71,46,,,,
 2000-01,77,46,,,,
 2000-02,69,25,,,,
 2000-03,68,19,,,,
 2000-04,71,21,,,,
 2000-05,79,22,,,,
 2000-06,85,25,,,,
 2000-07,86,48,,,,
 2000-08,83,50,,,,
 2000-09,79,28,,,,
 2000-10,74,33,,,,
 2000-11,75,33,,,,
 2000-12,71,37,,,,
 2001-01,76,38,,,,
 2001-02,67,31,,,,
 2001-03,64,26,,,,
 2001-04,70,28,,,,
 2001-05,80,26,,,,
 2001-06,86,41,,,,
 2001-07,87,57,,,,
 2001-08,76,42,,,,
 2001-09,70,42,,,,
 2001-10,69,42,,,,
 2001-11,62,33,,,,
 2001-12,65,40,,,,
 2002-01,66,37,,,,
 2002-02,63,33,,,,
 2002-03,66,15,,,,
 2002-04,74,20,,,,
 2002-05,84,19,,,,
 2002-06,82,31,,,,
