일시,합계전천일사량(MJ/㎡),평균상대습도(%)
 1980-01,332.06,76
 1980-02,574.67,72
 1980-03,668.5,73
 1980-04,983.01,75
 1980-05,1243.48,79
 1980-06,921.71,89
 1980-07,790.06,92
 1980-08,701.75,88
 1980-09,938.15,78
 1980-10,672.65,77
 1980-11,585.4,74
 1980-12,360.34,68
 1981-01,344.31,67
 1981-02,458.09,68
 1981-03,752.93,68
 1981-04,888.62,73
 1981-05,1103.91,71
 1981-06,835.61,83
 1981-07,1251.67,87
 1981-08,1054.43,83
 1981-09,873.87,78
 1981-10,689.99,74
 1981-11,485.49,71
 1981-12,465.27,69
 1982-01,183.81,70
 1982-02,275.83,68
 1982-03,435.11,71
 1982-04,462.27,76
 1982-05,641.29,82
 1982-06,633.8,82
 1982-07,508.07,91
 1982-08,572.33,86
 1982-09,420.52,79
 1982-10,394.29,78
 1982-11,201.74,79
 1982-12,173.11,70
 1983-01,176.57,72
 1983-02,249.71,72
 1983-03,336.82,74
 1983-04,477.93,79
 1983-05,596.84,81
 1983-06,524.78,85
 1983-07,538.1,87
 1983-08,486.04,83
 1983-09,364.45,87
 1983-10,320.24,76
 1983-11,255.15,72
 1983-12,206.1,68
 1984-01,191.27,68
 1984-02,233.55,70
 1984-03,437.96,65
 1984-04,490.99,79
 1984-05,611.52,79
 1984-06,498.25,87
 1984-07,611.03,86
 1984-08,548.76,87
 1984-09,443.79,82
 1984-10,414.55,69
 1984-11,257.49,71
 1984-12,140.61,72
 1985-01,184.58,65
 1985-02,164.6,70
 1985-03,345.08,71
 1985-04,471.01,75
 1985-05,518.32,82
 1985-06,481.78,86
 1985-07,626.32,85
 1985-08,557.11,86
 1985-09,458.6,81
 1985-10,325.46,76
 1985-11,224.56,71
 1985-12,136.68,75
 1986-01,187.88,72
 1986-02,204.56,70
 1986-03,395.48,73
 1986-04,511.12,72
 1986-05,614.7,79
 1986-06,550.16,85
 1986-07,455.71,87
 1986-08,572.22,76
 1986-09,415.34,83
 1986-10,402.59,77
 1986-11,242.01,73
 1986-12,162.27,74
 1987-01,185.97,71
 1987-02,260.91,72
 1987-03,326.99,77
 1987-04,495.12,77
 1987-05,600.79,81
 1987-06,548.16,84
 1987-07,427.15,92
 1987-08,501.6,87
 1987-09,430.28,72
 1987-10,330.41,74
 1987-11,244.29,74
 1987-12,184.17,69
 1988-01,195.67,68
 1988-02,220.44,71
 1988-03,326.29,73
 1988-04,510.67,74
 1988-05,551.37,78
 1988-06,454.48,88
 1988-07,614.36,86
 1988-08,588.09,83
 1988-09,462.97,84
 1988-10,472.44,73
 1988-11,325.86,68
 1988-12,212.96,71
 1989-01,166.65,78
 1989-02,220.42,76
 1989-03,407.56,70
 1989-04,506.08,75
 1989-05,535.83,85
 1989-06,494.94,87
 1989-07,556.34,90
 1989-08,524.67,86
 1989-09,428.39,85
 1989-10,500.44,76
 1989-11,289.32,74
 1989-12,221.82,72
 1990-01,146.15,72
 1990-02,259.44,77
 1990-03,483.06,73
 1990-04,480.95,74
 1990-05,537.4,82
 1990-06,518.75,89
 1990-07,574.86,91
 1990-08,660.71,82
 1990-09,459.08,84
 1990-10,453.59,75
 1990-11,233.42,78
 1990-12,200.55,71
 1991-01,222.1,69
 1991-02,209.21,69
 1991-03,341.76,75
 1991-04,462.99,75
 1991-05,542.25,79
 1991-06,450.73,89
 1991-07,470.98,93
 1991-08,523.38,85
 1991-09,399.9,82
 1991-10,464.36,72
 1991-11,302.8,73
 1991-12,192.43,76
 1992-01,186.91,71
 1992-02,236.43,71
 1992-03,294.26,78
 1992-04,452.27,78
 1992-05,562.75,80
 1992-06,518.71,83
 1992-07,522.83,91
 1992-08,426.05,85
 1992-09,378.25,80
 1992-10,347.99,75
 1992-11,237.44,72
 1992-12,173.2,73
 1993-01,134.08,74
 1993-02,225.54,76
 1993-03,356.96,75
 1993-04,472.83,74
 1993-05,505.86,83
 1993-06,441.09,89
 1993-07,409.07,87
 1993-08,362.44,89
 1993-09,396.64,78
 1993-10,353.43,70
 1993-11,183.36,76
 1993-12,122.65,69
 1994-01,180.55,69
 1994-02,252.49,72
 1994-03,386.02,73
 1994-04,435.36,83
 1994-05,511.02,84
 1994-06,494.61,88
 1994-07,682.25,87
 1994-08,659.15,87
 1994-09,591.9,74
 1994-10,466.03,71
 1994-11,347.29,73
 1994-12,209.23,72
 1995-01,212.92,67
 1995-02,317.17,69
 1995-03,425.82,75
 1995-04,514.12,75
 1995-05,553.14,77
 1995-06,518.1,86
 1995-07,530.51,91
 1995-08,601.83,86
 1995-09,403.58,75
 1995-10,403.88,72
 1995-11,311.47,63
 1995-12,172.6,71
 1996-01,192.66,71
 1996-02,227.09,72
 1996-03,349.75,74
 1996-04,530.37,65
 1996-05,534.38,81
 1996-06,408.31,93
 1996-07,468.03,90
 1996-08,479.78,83
 1996-09,437.83,75
 1996-10,358.22,72
 1996-11,220.05,67
 1996-12,191.73,64
 1997-01,169.74,64
 1997-02,229.55,66
 1997-03,382.61,65
 1997-04,447.01,71
 1997-05,569.54,77
 1997-06,522.4,79
 1997-07,534.55,88
 1997-08,451.56,86
 1997-09,407.29,74
 1997-10,419.52,69
 1997-11,211.38,77
 1997-12,194.85,71
 1998-01,161.37,71
 1998-02,263.92,76
 1998-03,386.44,76
 1998-04,400.37,89
 1998-05,513.32,87
 1998-06,435.76,92
 1998-07,601.67,92
 1998-08,627.19,88
 1998-09,454.74,79
 1998-10,388.16,79
 1998-11,334.98,75
 1998-12,269.37,70
 1999-01,215.8,72
 1999-02,304.04,74
 1999-03,309.75,78
 1999-04,516.06,79
 1999-05,657.1,82
 1999-06,499.06,87
 1999-07,432.37,91
 1999-08,424.4,90
 1999-09,352.4,87
 1999-10,371.48,73
 1999-11,251.17,74
 1999-12,234.17,71
 2000-01,121.26,77
 2000-02,349.4,69
 2000-03,514.81,68
 2000-04,605.55,71
 2000-05,639.46,79
 2000-06,502.96,85
 2000-07,614.81,86
 2000-08,632.7,83
 2000-09,471.87,79
 2000-10,396.97,74
 2000-11,316,75
 2000-12,259.35,71
 2001-01,221.2,76
 2001-02,279.12,67
 2001-03,472.24,64
 2001-04,600.76,70
 2001-05,593.95,80
 2001-06,462.19,86
 2001-07,635.99,87
 2001-08,603.1,76
 2001-09,561.88,70
 2001-10,440.16,69
 2001-11,322.89,62
 2001-12,155.4,65
 2002-01,218.05,66
 2002-02,391.64,63
 2002-03,469.65,66
 2002-04,468.38,74
 2002-05,507.95,84
 2002-06,625.7,82
 2002-07,503.99,92
 2002-08,486.37,89
 2002-09,552.27,79
 2002-10,401.06,72
 2002-11,271.25,71
 2002-12,148.18,75
 2003-01,186.09,72
 2003-02,246.08,74
 2003-03,429.53,73
 2003-04,489.03,77
 2003-05,519.42,82
 2003-06,528.68,85
 2003-07,399.71,92
 2003-08,515.46,89
 2003-09,505.31,82
 2003-10,443.3,66
 2003-11,218.55,74
 2003-12,188.5,65
 2004-01,195.41,66
 2004-02,347.77,63
 2004-03,468.59,63
 2004-04,540.07,71
 2004-05,503.02,84
 2004-06,512.74,80
 2004-07,709.95,88
 2004-08,589.97,81
 2004-09,389.81,81
 2004-10,452.88,67
 2004-11,295.33,71
 2004-12,196.02,69
 2005-01,145.55,67
 2005-02,218.85,69
 2005-03,446.84,67
 2005-04,618.12,73
 2005-05,656.52,73
 2005-06,654.5,84
 2005-07,535.8,87
 2005-08,559.19,86
 2005-09,473.45,83
 2005-10,378.68,71
 2005-11,277.85,65
 2005-12,164.21,70
 2006-01,190.81,69
 2006-02,245.75,67
 2006-03,468.61,66
 2006-04,493.91,73
 2006-05,531.37,83
 2006-06,514.84,89
 2006-07,541.32,91
 2006-08,596.54,81
 2006-09,392.77,75
 2006-10,451.23,74
 2006-11,231.51,68
 2006-12,166.31,69
 2007-01,167.29,66
 2007-02,316.26,67
 2007-03,436.79,69
 2007-04,544.66,66
 2007-05,646.99,78
 2007-06,512.41,85
 2007-07,529.53,86
 2007-08,661.13,82
 2007-09,457.09,81
 2007-10,462.07,71
 2007-11,325.24,62
 2007-12,206.63,67
 2008-01,191.25,69
 2008-02,348.15,58
 2008-03,501.43,65
 2008-04,541.42,69
 2008-05,641,73
 2008-06,428.33,84
 2008-07,659.78,84
 2008-08,591.4,79
 2008-09,467.16,78
 2008-10,434.31,68
 2008-11,267.05,67
 2008-12,227.06,63
 2009-01,205.89,65
 2009-02,281.63,68
 2009-03,452.78,62
 2009-04,599.19,68
 2009-05,717.61,70
 2009-06,623.8,79
 2009-07,574.58,83
 2009-08,608.99,76
 2009-09,512.86,72
 2009-10,499.1,60
 2009-11,251.22,69
 2009-12,199.77,67
 2010-01,234.14,68
 2010-02,265.68,70
 2010-03,369.36,69
 2010-04,509.6,67
 2010-05,644.65,74
 2010-06,515.91,82
 2010-07,574.45,90
 2010-08,613.5,83
 2010-09,516.26,81
 2010-10,416.35,74
 2010-11,329.25,66
 2010-12,211.88,70
 2011-01,190.22,69
 2011-02,329.04,69
 2011-03,545.89,58
 2011-04,643.37,73
 2011-05,618.17,81
 2011-06,499.06,89
 2011-07,681.13,86
 2011-08,520.98,87
 2011-09,617.35,76
 2011-10,471.52,68
 2011-11,285.15,74
 2011-12,189.18,67
