출하지역,계,2014년 08월,2014년 09월,2014년 10월,2014년 11월,2014년 12월,2015년 01월,2015년 02월,2015년 03월,2015년 04월,2015년 05월,2015년 06월
계,332992.35,0.00,512.56,43899.90,66016.95,89592.59,81233.54,43345.33,8364.20,27.29,0.00,0.00
서울,86091.19,0.00,184.97,11618.19,16748.40,22503.34,21089.25,11251.05,2682.27,13.73,0.00,0.00
부산,23916.81,0.00,17.74,4013.67,4750.42,5651.59,5367.36,3169.46,945.88,0.70,0.00,0.00
대구,27600.83,0.00,65.09,2954.38,5181.31,7735.39,7163.87,3688.97,810.30,1.52,0.00,0.00
인천,12156.30,0.00,22.74,1596.68,2241.24,3248.96,3047.94,1663.11,333.72,1.93,0.00,0.00
광주,21800.01,0.00,31.90,2684.60,3761.28,5750.10,5459.43,3635.11,477.60,0.00,0.00,0.00
대전,15214.47,0.00,55.01,2317.64,2980.56,3762.37,3520.06,2207.68,370.06,1.10,0.00,0.00
울산,6721.56,0.00,3.09,942.99,1096.98,1743.17,1643.00,1105.47,184.86,1.99,0.00,0.00
경기,66815.13,0.00,23.22,8431.22,15811.33,19957.00,16153.04,5627.31,807.90,4.11,0.00,0.00
강원,5157.05,0.00,7.78,656.27,1002.42,1408.86,1248.19,711.92,121.62,0.00,0.00,0.00
충북,10151.77,0.00,4.30,1278.68,1945.44,2783.27,2420.66,1507.91,211.52,0.00,0.00,0.00
충남,9518.54,0.00,5.30,1295.95,1918.56,2481.77,2344.51,1303.61,168.26,0.58,0.00,0.00
전북,12013.46,0.00,15.27,1617.21,2061.17,3015.80,2984.99,2001.31,317.39,0.33,0.00,0.00
전남,6535.72,0.00,19.87,707.32,1023.05,1671.20,1657.25,1218.30,238.74,0.00,0.00,0.00
경북,11566.44,0.00,28.34,1279.20,2050.33,3269.98,2826.58,1870.73,241.12,0.17,0.00,0.00
경남,17733.07,0.00,27.97,2505.90,3444.49,4609.82,4307.39,2383.39,452.98,1.13,0.00,0.00
