출하지역,계,2019년 07월,2019년 08월,2019년 09월,2019년 10월,2019년 11월,2019년 12월
계,158990.99,0.00,0.00,294.35,31825.55,56380.38,70490.71
서울,43853.51,0.00,0.00,93.72,9055.86,15457.39,19246.54
부산,11488.86,0.00,0.00,18.21,2379.34,3946.65,5144.67
대구,13435.44,0.00,0.00,10.60,2479.96,4594.95,6349.94
인천,6197.24,0.00,0.00,6.00,1423.57,2194.12,2573.56
광주,8422.13,0.00,0.00,16.14,1805.60,2880.61,3719.79
대전,7759.33,0.00,0.00,37.83,1639.35,2778.34,3303.81
울산,2881.70,0.00,0.00,7.76,617.53,1010.27,1246.13
경기,32364.08,0.00,0.00,51.26,5770.21,12189.91,14352.71
강원,1520.15,0.00,0.00,1.92,359.05,551.44,607.74
충북,4352.38,0.00,0.00,10.94,978.03,1403.35,1960.06
충남,3303.43,0.00,0.00,4.25,746.58,1173.52,1379.08
전북,4563.00,0.00,0.00,19.10,923.83,1641.10,1978.98
전남,3865.07,0.00,0.00,0.60,775.06,1303.98,1785.43
경북,5363.55,0.00,0.00,12.23,986.56,1876.04,2488.72
경남,9621.12,0.00,0.00,3.81,1885.03,3378.72,4353.56
