출하지역,계,2017년 08월,2017년 09월,2017년 10월,2017년 11월,2017년 12월,2018년 01월,2018년 02월,2018년 03월,2018년 04월,2018년 05월,2018년 06월
계,11043.29,0.00,0.00,0.00,0.00,63.07,2031.12,5127.00,3380.39,441.71,0.00,0.00
서울,3559.96,0.00,0.00,0.00,0.00,10.87,688.66,1329.35,1322.37,208.71,0.00,0.00
부산,578.80,0.00,0.00,0.00,0.00,1.40,59.59,282.21,204.15,31.45,0.00,0.00
대구,863.69,0.00,0.00,0.00,0.00,24.01,167.85,444.84,211.46,15.54,0.00,0.00
인천,231.14,0.00,0.00,0.00,0.00,0.15,36.41,90.10,88.88,15.61,0.00,0.00
광주,454.44,0.00,0.00,0.00,0.00,3.80,60.19,229.07,155.24,6.14,0.00,0.00
대전,334.78,0.00,0.00,0.00,0.00,1.48,26.36,188.20,113.57,5.18,0.00,0.00
울산,216.32,0.00,0.00,0.00,0.00,0.00,19.59,132.92,63.12,0.69,0.00,0.00
경기,3297.71,0.00,0.00,0.00,0.00,9.26,783.33,1715.27,697.08,92.77,0.00,0.00
강원,34.77,0.00,0.00,0.00,0.00,0.00,4.91,20.13,9.74,0.00,0.00,0.00
충북,116.67,0.00,0.00,0.00,0.00,0.00,5.62,54.60,55.67,0.78,0.00,0.00
충남,151.48,0.00,0.00,0.00,0.00,0.00,13.35,71.23,57.12,9.78,0.00,0.00
전북,158.05,0.00,0.00,0.00,0.00,0.00,9.41,64.32,80.01,4.31,0.00,0.00
전남,240.27,0.00,0.00,0.00,0.00,9.68,60.98,92.53,72.53,4.55,0.00,0.00
경북,266.82,0.00,0.00,0.00,0.00,2.42,42.73,155.93,62.75,2.99,0.00,0.00
경남,538.37,0.00,0.00,0.00,0.00,0.00,52.16,256.30,186.70,43.21,0.00,0.00
