출하지역,계,2019년 07월,2019년 08월,2019년 09월,2019년 10월,2019년 11월,2019년 12월,2020년 01월
계,537.75,0.00,0.00,0.00,0.00,0.00,121.32,416.43
서울,195.90,0.00,0.00,0.00,0.00,0.00,69.26,126.64
부산,14.67,0.00,0.00,0.00,0.00,0.00,2.29,12.39
대구,75.56,0.00,0.00,0.00,0.00,0.00,11.89,63.67
인천,4.46,0.00,0.00,0.00,0.00,0.00,0.09,4.37
광주,20.98,0.00,0.00,0.00,0.00,0.00,4.22,16.77
대전,12.91,0.00,0.00,0.00,0.00,0.00,10.56,2.36
울산,5.79,0.00,0.00,0.00,0.00,0.00,0.00,5.79
경기,169.13,0.00,0.00,0.00,0.00,0.00,16.62,152.50
강원,0.67,0.00,0.00,0.00,0.00,0.00,0.00,0.67
충북,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
충남,5.09,0.00,0.00,0.00,0.00,0.00,0.80,4.29
전북,1.10,0.00,0.00,0.00,0.00,0.00,1.10,0.00
전남,6.54,0.00,0.00,0.00,0.00,0.00,2.29,4.26
경북,19.44,0.00,0.00,0.00,0.00,0.00,2.18,17.26
경남,5.51,0.00,0.00,0.00,0.00,0.00,0.03,5.48
