출하지역,계,2015년 04월,2015년 05월,2015년 06월,2015년 07월,2015년 08월,2015년 09월,2015년 10월,2015년 11월,2015년 12월
계,18211.39,3.85,611.67,2069.50,2434.30,2498.25,6199.50,4260.05,134.26,0.00
서울,4295.83,3.25,167.64,473.52,534.43,562.19,1507.76,976.51,70.52,0.00
부산,1825.92,0.00,79.88,257.84,314.38,257.22,631.34,276.75,8.51,0.00
대구,1654.16,0.12,73.09,209.51,256.20,278.36,556.16,271.43,9.29,0.00
인천,341.34,0.00,2.63,30.62,39.22,31.88,166.96,66.91,3.12,0.00
광주,908.72,0.00,31.66,104.04,132.94,124.71,340.02,172.47,2.88,0.00
대전,585.99,0.00,19.64,56.91,79.72,74.88,246.33,93.26,15.25,0.00
울산,258.82,0.00,15.43,32.92,31.73,29.20,99.13,48.03,2.37,0.00
경기,4918.42,0.48,138.62,539.80,585.56,664.50,1402.70,1572.10,14.68,0.00
강원,62.29,0.00,0.00,3.20,8.63,3.14,22.87,24.45,0.00,0.00
충북,253.80,0.00,6.97,24.50,27.92,29.74,106.95,57.28,0.44,0.00
충남,247.32,0.00,7.60,24.45,27.96,30.61,115.96,39.75,1.00,0.00
전북,385.95,0.00,5.59,55.53,56.07,48.96,134.74,85.06,0.00,0.00
전남,388.90,0.00,10.82,56.18,65.01,60.49,147.92,46.25,2.23,0.00
경북,417.55,0.00,12.41,39.22,52.73,51.75,175.52,84.00,1.92,0.00
경남,1666.38,0.00,39.71,161.28,221.78,250.62,545.15,445.79,2.06,0.00
