출하지역,계,2019년 04월,2019년 05월,2019년 06월,2019년 07월,2019년 08월,2019년 09월,2019년 10월,2019년 11월,2019년 12월
계,24714.23,28.07,1019.26,2422.37,2676.63,4380.16,7932.47,5866.64,388.30,0.82
서울,5605.22,12.82,296.74,511.32,526.83,844.22,1846.11,1403.30,163.88,0.00
부산,2828.80,2.67,127.96,327.66,446.51,589.61,907.85,403.57,22.96,0.00
대구,2400.08,0.85,89.13,229.46,313.26,498.58,817.06,429.17,22.56,0.00
인천,455.45,0.26,15.24,32.87,36.20,59.29,173.76,131.89,5.93,0.00
광주,1321.21,1.25,55.83,107.10,151.91,260.21,514.06,227.92,2.93,0.00
대전,763.56,0.13,28.03,86.78,92.10,142.41,270.57,128.99,14.54,0.00
울산,309.00,0.00,12.68,21.61,25.90,67.31,111.34,67.85,2.31,0.00
경기,6455.11,6.97,229.17,689.52,613.67,1068.10,1777.64,1952.11,117.93,0.00
강원,61.26,0.20,1.01,2.94,5.27,4.88,22.76,24.21,0.00,0.00
충북,294.44,0.30,13.08,35.20,31.94,49.96,91.43,66.80,5.73,0.00
충남,258.01,0.54,14.10,29.80,19.56,46.63,85.92,56.38,4.26,0.82
전북,578.76,0.00,17.11,53.82,58.93,117.82,212.73,118.35,0.00,0.00
전남,583.88,0.39,24.24,67.50,74.72,100.80,210.04,97.92,8.28,0.00
경북,554.80,0.00,25.80,45.96,72.34,103.18,187.40,116.56,3.57,0.00
경남,2244.64,1.69,69.14,180.83,207.48,427.15,703.32,641.62,13.42,0.00
